region,window,config,year_seasonality,wet_regressor,MAE,RMSE,MAPE,val_mean_yhat,val_mean_y,months,naive_MAE,skill_pct
Bangsamoro (BARMM),last_12m,A,True,False,630.5,715.61,106.19,1222.76,670.92,12,364.75,-72.9
Bangsamoro (BARMM),2025_prospective,A,True,False,521.94,660.76,67.59,839.93,976.67,12,390.58,-33.6
Bangsamoro (BARMM),last_12m,B,False,True,356.59,396.78,56.56,1027.51,670.92,12,364.75,2.2
Bangsamoro (BARMM),2025_prospective,B,False,True,304.04,346.66,36.92,958.79,976.67,12,390.58,22.2
Bangsamoro (BARMM),last_12m,C,True,True,632.38,794.09,105.85,1146.75,670.92,12,364.75,-73.4
Bangsamoro (BARMM),2025_prospective,C,True,True,512.81,717.16,73.86,1170.96,976.67,12,390.58,-31.3
Bicol Region,last_12m,A,True,False,103.47,121.65,58.86,84.53,188.0,12,,
Bicol Region,2025_prospective,A,True,False,102.52,126.12,78.37,23.07,125.58,12,,
Bicol Region,last_12m,B,False,True,77.38,103.87,34.92,113.05,188.0,12,,
Bicol Region,2025_prospective,B,False,True,59.27,94.23,40.59,68.41,125.58,12,,
Bicol Region,last_12m,C,True,True,115.41,131.87,75.17,101.53,188.0,12,,
Bicol Region,2025_prospective,C,True,True,113.59,134.97,95.0,40.94,125.58,12,,
CALABARZON,last_12m,A,True,False,4053.83,5017.54,65.74,2075.44,5213.58,12,,
CALABARZON,2025_prospective,A,True,False,3212.14,4307.1,74.14,892.09,4024.92,12,,
CALABARZON,last_12m,B,False,True,2635.34,3132.68,62.57,4194.1,5213.58,12,,
CALABARZON,2025_prospective,B,False,True,2038.13,2678.73,44.72,2098.78,4024.92,12,,
CALABARZON,last_12m,C,True,True,3533.3,4426.78,58.62,2481.59,5213.58,12,,
CALABARZON,2025_prospective,C,True,True,2577.07,3549.96,62.29,1538.25,4024.92,12,,
Cagayan Valley,last_12m,A,True,False,621.63,847.69,52.13,779.0,1236.08,12,,
Cagayan Valley,2025_prospective,A,True,False,1038.3,1405.32,88.37,269.53,1307.83,12,,
Cagayan Valley,last_12m,B,False,True,693.32,916.22,70.32,1261.52,1236.08,12,,
Cagayan Valley,2025_prospective,B,False,True,709.3,915.48,67.39,1003.4,1307.83,12,,
Cagayan Valley,last_12m,C,True,True,1092.24,1294.89,94.91,1094.15,1236.08,12,,
Cagayan Valley,2025_prospective,C,True,True,1193.68,1466.17,97.04,630.96,1307.83,12,,
Caraga,last_12m,A,True,False,1137.34,1357.08,222.41,1610.65,1024.0,12,,
Caraga,2025_prospective,A,True,False,964.51,1232.84,67.51,706.51,1361.42,12,,
Caraga,last_12m,B,False,True,615.98,792.99,137.08,1405.98,1024.0,12,,
Caraga,2025_prospective,B,False,True,430.24,671.89,26.67,974.93,1361.42,12,,
Caraga,last_12m,C,True,True,1047.76,1398.6,187.99,1450.31,1024.0,12,,
Caraga,2025_prospective,C,True,True,882.13,1135.87,65.75,938.65,1361.42,12,,
Central Luzon,last_12m,A,True,False,3671.36,4135.08,67.71,1876.14,5547.5,12,,
Central Luzon,2025_prospective,A,True,False,2849.46,3514.38,87.74,667.45,3516.92,12,,
Central Luzon,last_12m,B,False,True,2539.68,3507.07,40.32,3168.12,5547.5,12,,
Central Luzon,2025_prospective,B,False,True,1759.43,2586.63,66.68,1757.49,3516.92,12,,
Central Luzon,last_12m,C,True,True,3904.23,4798.96,79.71,3261.43,5547.5,12,,
Central Luzon,2025_prospective,C,True,True,3581.42,4711.2,101.48,1714.19,3516.92,12,,
Central Visayas,last_12m,A,True,False,2835.89,3364.4,214.4,2107.49,1949.17,12,,
Central Visayas,2025_prospective,A,True,False,2339.61,3270.53,70.28,366.0,2697.75,12,,
Central Visayas,last_12m,B,False,True,1477.39,1839.22,143.29,2399.09,1949.17,12,,
Central Visayas,2025_prospective,B,False,True,1537.8,2407.68,48.2,1264.9,2697.75,12,,
Central Visayas,last_12m,C,True,True,3350.04,3820.25,292.62,2586.72,1949.17,12,,
Central Visayas,2025_prospective,C,True,True,2270.16,3346.02,64.69,457.02,2697.75,12,,
Cordillera Administrative Region,last_12m,A,True,False,2898.63,4174.87,335.19,3425.38,1171.58,12,,
Cordillera Administrative Region,2025_prospective,A,True,False,1837.68,2597.58,104.09,1320.65,2560.83,12,,
Cordillera Administrative Region,last_12m,B,False,True,1618.6,2469.28,126.23,2231.56,1171.58,12,,
Cordillera Administrative Region,2025_prospective,B,False,True,2199.7,2953.95,113.07,2702.58,2560.83,12,,
Cordillera Administrative Region,last_12m,C,True,True,2282.09,3128.99,235.58,2433.13,1171.58,12,,
Cordillera Administrative Region,2025_prospective,C,True,True,2031.18,2621.3,178.47,2105.05,2560.83,12,,
Davao Region,last_12m,A,True,False,1543.96,1960.06,114.67,2914.57,1714.0,12,,
Davao Region,2025_prospective,A,True,False,1315.93,1635.18,66.85,3051.49,2369.08,12,,
Davao Region,last_12m,B,False,True,1061.59,1276.37,78.09,2750.44,1714.0,12,,
Davao Region,2025_prospective,B,False,True,808.54,1008.11,36.38,2565.05,2369.08,12,,
Davao Region,last_12m,C,True,True,1299.96,1824.4,95.16,2688.73,1714.0,12,,
Davao Region,2025_prospective,C,True,True,1328.0,1737.37,55.75,2773.25,2369.08,12,,
Eastern Visayas,last_12m,A,True,False,420.62,536.3,157.36,585.95,362.67,12,,
Eastern Visayas,2025_prospective,A,True,False,502.68,697.63,92.08,304.19,608.42,12,,
Eastern Visayas,last_12m,B,False,True,276.38,328.75,106.23,576.03,362.67,12,,
Eastern Visayas,2025_prospective,B,False,True,337.53,490.16,60.64,494.3,608.42,12,,
Eastern Visayas,last_12m,C,True,True,585.07,796.38,229.35,799.08,362.67,12,,
Eastern Visayas,2025_prospective,C,True,True,652.61,900.67,159.01,530.97,608.42,12,,
Ilocos Region,last_12m,A,True,False,730.49,884.87,58.07,964.33,1362.08,12,,
Ilocos Region,2025_prospective,A,True,False,670.64,858.83,81.52,627.03,1108.58,12,,
Ilocos Region,last_12m,B,False,True,535.31,655.26,40.98,1318.33,1362.08,12,,
Ilocos Region,2025_prospective,B,False,True,584.09,868.41,62.58,982.29,1108.58,12,,
Ilocos Region,last_12m,C,True,True,535.56,699.37,43.02,1100.91,1362.08,12,,
Ilocos Region,2025_prospective,C,True,True,621.26,848.94,90.81,1120.59,1108.58,12,,
MIMAROPA,last_12m,A,True,False,873.02,1119.22,58.51,1302.71,1366.83,12,,
MIMAROPA,2025_prospective,A,True,False,762.03,972.16,49.99,1293.03,1505.33,12,,
MIMAROPA,last_12m,B,False,True,629.38,762.85,44.46,1755.99,1366.83,12,,
MIMAROPA,2025_prospective,B,False,True,691.51,998.73,38.42,1528.16,1505.33,12,,
MIMAROPA,last_12m,C,True,True,1007.74,1260.99,68.71,1704.39,1366.83,12,,
MIMAROPA,2025_prospective,C,True,True,648.24,771.06,49.71,1335.05,1505.33,12,,
National,last_12m,A,True,False,23247.54,26503.79,71.01,30072.78,32943.92,12,,
National,2025_prospective,A,True,False,20681.29,26412.89,57.46,13817.12,34498.42,12,,
National,last_12m,B,False,True,12085.78,14038.57,42.51,35819.18,32943.92,12,,
National,2025_prospective,B,False,True,14237.64,20008.46,37.6,24148.36,34498.42,12,,
National,last_12m,C,True,True,14378.45,20535.18,39.53,27729.81,32943.92,12,,
National,2025_prospective,C,True,True,14056.49,18719.23,41.08,21001.69,34498.42,12,,
National Capital Region,last_12m,A,True,False,3685.3,4640.74,67.73,1699.76,4742.25,12,,
National Capital Region,2025_prospective,A,True,False,2592.59,3820.82,64.05,901.31,3438.08,12,,
National Capital Region,last_12m,B,False,True,2996.81,3412.13,82.06,3310.75,4742.25,12,,
National Capital Region,2025_prospective,B,False,True,2057.74,2768.53,53.58,1618.36,3438.08,12,,
National Capital Region,last_12m,C,True,True,3325.89,4391.72,61.02,1884.4,4742.25,12,,
National Capital Region,2025_prospective,C,True,True,2590.66,3872.53,62.57,909.11,3438.08,12,,
Negros Island Region,last_12m,A,True,False,1410.51,1795.28,117.97,1297.96,1197.58,12,,
Negros Island Region,2025_prospective,A,True,False,1283.64,1659.62,95.6,119.53,1403.17,12,,
Negros Island Region,last_12m,B,False,True,824.44,1045.98,70.33,1582.02,1197.58,12,,
Negros Island Region,2025_prospective,B,False,True,1053.19,1414.12,85.17,857.32,1403.17,12,,
Negros Island Region,last_12m,C,True,True,984.28,1317.32,83.75,954.97,1197.58,12,,
Negros Island Region,2025_prospective,C,True,True,1262.87,1689.26,92.58,230.63,1403.17,12,,
Northern Mindanao,last_12m,A,True,False,1462.42,1734.32,119.47,2619.86,1356.17,12,,
Northern Mindanao,2025_prospective,A,True,False,915.03,1181.63,48.69,1905.31,2011.92,12,,
Northern Mindanao,last_12m,B,False,True,855.86,983.37,68.99,2212.03,1356.17,12,,
Northern Mindanao,2025_prospective,B,False,True,763.26,977.85,39.73,2087.37,2011.92,12,,
Northern Mindanao,last_12m,C,True,True,1347.6,1569.18,102.6,2703.77,1356.17,12,,
Northern Mindanao,2025_prospective,C,True,True,1200.07,1510.31,69.14,2557.76,2011.92,12,,
SOCCSKSARGEN,last_12m,A,True,False,1351.01,1444.18,107.45,2058.99,1311.42,12,,
SOCCSKSARGEN,2025_prospective,A,True,False,1010.28,1191.68,55.1,1696.78,1948.5,12,,
SOCCSKSARGEN,last_12m,B,False,True,842.88,907.17,70.99,2154.29,1311.42,12,,
SOCCSKSARGEN,2025_prospective,B,False,True,596.95,745.96,37.29,1971.46,1948.5,12,,
SOCCSKSARGEN,last_12m,C,True,True,1135.3,1275.88,91.55,1795.35,1311.42,12,,
SOCCSKSARGEN,2025_prospective,C,True,True,1144.27,1395.74,64.02,2010.78,1948.5,12,,
Western Visayas,last_12m,A,True,False,2265.56,3460.76,123.11,2539.3,1627.08,12,,
Western Visayas,2025_prospective,A,True,False,1780.45,2546.71,89.04,349.22,2129.67,12,,
Western Visayas,last_12m,B,False,True,1406.67,1909.66,81.15,2632.84,1627.08,12,,
Western Visayas,2025_prospective,B,False,True,1983.4,2597.92,105.93,1860.51,2129.67,12,,
Western Visayas,last_12m,C,True,True,2106.9,2845.04,137.82,2309.1,1627.08,12,,
Western Visayas,2025_prospective,C,True,True,1761.56,2504.78,87.5,368.1,2129.67,12,,
Zamboanga Peninsula,last_12m,A,True,False,906.04,1014.38,109.03,1232.58,903.0,12,,
Zamboanga Peninsula,2025_prospective,A,True,False,878.95,1046.61,63.97,987.82,1403.75,12,,
Zamboanga Peninsula,last_12m,B,False,True,525.65,596.51,65.83,1428.65,903.0,12,,
Zamboanga Peninsula,2025_prospective,B,False,True,449.11,588.6,30.06,1356.78,1403.75,12,,
Zamboanga Peninsula,last_12m,C,True,True,809.91,954.4,90.5,1130.72,903.0,12,,
Zamboanga Peninsula,2025_prospective,C,True,True,947.02,1075.3,70.58,1079.36,1403.75,12,,
