region,R2_fourier_explains_wet,cond_num_joint
Bangsamoro (BARMM),1.0,7.628190334728515e+16
Bicol Region,1.0,7.628190334728515e+16
CALABARZON,1.0,7.628190334728515e+16
Cagayan Valley,1.0,7.628190334728515e+16
Caraga,1.0,7.628190334728515e+16
Central Luzon,1.0,7.628190334728515e+16
Central Visayas,1.0,7.628190334728515e+16
Cordillera Administrative Region,1.0,7.628190334728515e+16
Davao Region,1.0,7.628190334728515e+16
Eastern Visayas,1.0,7.628190334728515e+16
Ilocos Region,1.0,7.628190334728515e+16
MIMAROPA,1.0,7.628190334728515e+16
National,1.0,7.628190334728515e+16
National Capital Region,1.0,7.628190334728515e+16
Negros Island Region,1.0,7.628190334728515e+16
Northern Mindanao,1.0,7.628190334728515e+16
SOCCSKSARGEN,1.0,7.628190334728515e+16
Western Visayas,1.0,7.628190334728515e+16
Zamboanga Peninsula,1.0,7.628190334728515e+16
