date,region,disease,cases
2019-01-06,NCR,Dengue,121
2019-01-13,NCR,Dengue,54
2019-01-20,NCR,Dengue,128
2019-01-27,NCR,Dengue,131
2019-02-03,NCR,Dengue,0
2019-02-10,NCR,Dengue,21
2019-02-17,NCR,Dengue,81
2019-02-24,NCR,Dengue,58
2019-03-03,NCR,Dengue,68
2019-03-10,NCR,Dengue,29
2019-03-17,NCR,Dengue,106
2019-03-24,NCR,Dengue,101
2019-03-31,NCR,Dengue,69
2019-04-07,NCR,Dengue,118
2019-04-14,NCR,Dengue,91
2019-04-21,NCR,Dengue,34
2019-04-28,NCR,Dengue,93
2019-05-05,NCR,Dengue,37
2019-05-12,NCR,Dengue,124
2019-05-19,NCR,Dengue,88
2019-05-26,NCR,Dengue,88
2019-06-02,NCR,Dengue,71
2019-06-09,NCR,Dengue,164
2019-06-16,NCR,Dengue,108
2019-06-23,NCR,Dengue,103
2019-06-30,NCR,Dengue,113
2019-07-07,NCR,Dengue,159
2019-07-14,NCR,Dengue,158
2019-07-21,NCR,Dengue,166
2019-07-28,NCR,Dengue,173
2019-08-04,NCR,Dengue,255
2019-08-11,NCR,Dengue,145
2019-08-18,NCR,Dengue,145
2019-08-25,NCR,Dengue,135
2019-09-01,NCR,Dengue,202
2019-09-08,NCR,Dengue,227
2019-09-15,NCR,Dengue,172
2019-09-22,NCR,Dengue,140
2019-09-29,NCR,Dengue,140
2019-10-06,NCR,Dengue,206
2019-10-13,NCR,Dengue,208
2019-10-20,NCR,Dengue,196
2019-10-27,NCR,Dengue,139
2019-11-03,NCR,Dengue,175
2019-11-10,NCR,Dengue,165
2019-11-17,NCR,Dengue,165
2019-11-24,NCR,Dengue,188
2019-12-01,NCR,Dengue,153
2019-12-08,NCR,Dengue,167
2019-12-15,NCR,Dengue,133
2019-12-22,NCR,Dengue,137
2019-12-29,NCR,Dengue,146
2020-01-05,NCR,Dengue,45
2020-01-12,NCR,Dengue,90
2020-01-19,NCR,Dengue,77
2020-01-26,NCR,Dengue,64
2020-02-02,NCR,Dengue,75
2020-02-09,NCR,Dengue,150
2020-02-16,NCR,Dengue,40
2020-02-23,NCR,Dengue,119
2020-03-01,NCR,Dengue,0
2020-03-08,NCR,Dengue,56
2020-03-15,NCR,Dengue,77
2020-03-22,NCR,Dengue,96
2020-03-29,NCR,Dengue,102
2020-04-05,NCR,Dengue,107
2020-04-12,NCR,Dengue,58
2020-04-19,NCR,Dengue,56
2020-04-26,NCR,Dengue,119
2020-05-03,NCR,Dengue,76
2020-05-10,NCR,Dengue,32
2020-05-17,NCR,Dengue,43
2020-05-24,NCR,Dengue,59
2020-05-31,NCR,Dengue,128
2020-06-07,NCR,Dengue,119
2020-06-14,NCR,Dengue,150
2020-06-21,NCR,Dengue,107
2020-06-28,NCR,Dengue,140
2020-07-05,NCR,Dengue,167
