date,disease,cases,deaths,region
2022-01-01,Dengue,5561,46,National
2022-02-01,Dengue,5945,47,National
2022-03-01,Dengue,8169,42,National
2022-04-01,Dengue,11698,61,National
2022-05-01,Dengue,20927,85,National
2022-06-01,Dengue,35204,121,National
2022-07-01,Dengue,49626,135,National
2022-08-01,Dengue,41986,123,National
2022-09-01,Dengue,31496,90,National
2022-10-01,Dengue,21705,74,National
2022-11-01,Dengue,18977,64,National
2022-12-01,Dengue,13096,48,National
2023-01-01,Dengue,13810,46,National
2023-02-01,Dengue,11075,45,National
2023-03-01,Dengue,10066,33,National
2023-04-01,Dengue,9170,41,National
2023-05-01,Dengue,12917,49,National
2023-06-01,Dengue,19289,80,National
2023-07-01,Dengue,23130,91,National
2023-08-01,Dengue,23869,93,National
2023-09-01,Dengue,25156,68,National
2023-10-01,Dengue,25927,57,National
2023-11-01,Dengue,22670,57,National
2023-12-01,Dengue,17559,57,National
2024-01-01,Dengue,19313,80,National
2024-02-01,Dengue,15565,68,National
2024-03-01,Dengue,14369,50,National
2024-04-01,Dengue,12000,52,National
2024-05-01,Dengue,13733,54,National
2024-06-01,Dengue,23885,79,National
2024-07-01,Dengue,54925,197,National
2024-08-01,Dengue,83109,265,National
2024-09-01,Dengue,55818,203,National
2024-10-01,Dengue,45245,157,National
2024-11-01,Dengue,42831,139,National
2024-12-01,Dengue,33188,98,National
2025-01-01,Dengue,37470,158,National
2025-02-01,Dengue,30622,90,National
2025-03-01,Dengue,24375,92,National
2025-04-01,Dengue,15733,85,National
2025-05-01,Dengue,14781,46,National
2025-06-01,Dengue,21475,88,National
2025-07-01,Dengue,34418,157,National
2025-08-01,Dengue,39371,125,National
2025-09-01,Dengue,32197,113,National
2025-10-01,Dengue,31759,136,National
2025-11-01,Dengue,15436,55,National
2025-12-01,Dengue,11460,44,National
2026-01-01,Dengue,18535,80,National
2026-02-01,Dengue,12089,47,National
2026-03-01,Dengue,10304,62,National
2026-04-01,Dengue,8478,28,National
2026-05-01,Dengue,9256,38,National
2026-06-01,Dengue,15319,75,National
2026-07-01,Dengue,27691,99,National
2026-08-01,Dengue,18000,57,National
