date,disease,cases,region
2016-01-10,Dengue,5048,National
2016-01-17,Dengue,3928,National
2016-01-24,Dengue,4209,National
2016-01-31,Dengue,3867,National
2016-02-07,Dengue,3484,National
2016-02-14,Dengue,3293,National
2016-02-21,Dengue,2998,National
2016-02-28,Dengue,2611,National
2016-03-06,Dengue,2577,National
2016-03-13,Dengue,2510,National
2016-03-20,Dengue,2227,National
2016-03-27,Dengue,1986,National
2016-04-03,Dengue,1963,National
2016-04-10,Dengue,1935,National
2016-04-17,Dengue,1761,National
2016-04-24,Dengue,1610,National
2016-05-01,Dengue,1596,National
2016-05-08,Dengue,1484,National
2016-05-15,Dengue,1720,National
2016-05-22,Dengue,1621,National
2016-05-29,Dengue,1671,National
2016-06-05,Dengue,2020,National
2016-06-12,Dengue,2391,National
2016-06-19,Dengue,2885,National
2016-06-26,Dengue,3535,National
2016-07-03,Dengue,4044,National
2016-07-10,Dengue,4602,National
2016-07-17,Dengue,5658,National
2016-07-24,Dengue,6951,National
2016-07-31,Dengue,8489,National
2016-08-07,Dengue,9121,National
2016-08-14,Dengue,9244,National
2016-08-21,Dengue,8906,National
2016-08-28,Dengue,8924,National
2016-09-04,Dengue,8423,National
2016-09-11,Dengue,8076,National
2016-09-18,Dengue,7000,National
2016-09-25,Dengue,6744,National
2016-10-02,Dengue,5640,National
2016-10-09,Dengue,5705,National
2016-10-16,Dengue,5016,National
2016-10-23,Dengue,4580,National
2016-10-30,Dengue,4812,National
2016-11-06,Dengue,4416,National
2016-11-13,Dengue,4777,National
2016-11-20,Dengue,4115,National
2016-11-27,Dengue,3993,National
2016-12-04,Dengue,3766,National
2016-12-11,Dengue,3699,National
2016-12-18,Dengue,2993,National
2016-12-25,Dengue,2528,National
2017-01-01,Dengue,2620,National
2017-01-08,Dengue,3721,National
2017-01-15,Dengue,3101,National
2017-01-22,Dengue,2908,National
2017-01-29,Dengue,2624,National
2017-02-05,Dengue,2519,National
2017-02-12,Dengue,2359,National
