disease,region,season,outbreak,trigger,consecutive_high_n,season_avg,season_p75,n_forecast_months
Dengue,Bangsamoro (BARMM),dry,True,both,3,779.6,707.8,3
Dengue,Bangsamoro (BARMM),wet,True,both,3,1420.1,1016.5,3
Dengue,Bicol Region,dry,False,none,0,55.4,95.5,3
Dengue,Bicol Region,wet,False,none,0,102.9,233.5,3
Dengue,CALABARZON,dry,True,both,3,2584.9,1435.8,3
Dengue,CALABARZON,wet,True,both,3,6567.3,5225.5,3
Dengue,Cagayan Valley,dry,False,none,0,240.9,644.0,3
Dengue,Cagayan Valley,wet,True,season_p75,1,3170.2,2703.5,3
Dengue,Caraga,dry,True,both,3,1132.5,725.5,3
Dengue,Caraga,wet,True,both,3,2106.4,1488.5,3
Dengue,Central Luzon,dry,False,none,0,657.8,1710.5,3
Dengue,Central Luzon,wet,True,season_p75,1,7544.6,6316.8,3
Dengue,Central Visayas,dry,True,both,3,1629.9,1240.5,3
Dengue,Central Visayas,wet,True,season_p75,1,4324.8,2915.5,3
Dengue,Cordillera Administrative Region,dry,False,none,2,431.0,484.5,3
Dengue,Cordillera Administrative Region,wet,True,both,3,6474.4,3220.5,3
Dengue,Davao Region,dry,True,both,3,2159.9,1583.5,3
Dengue,Davao Region,wet,True,both,3,3929.2,2505.0,3
Dengue,Eastern Visayas,dry,False,none,2,374.1,421.2,3
Dengue,Eastern Visayas,wet,False,none,0,727.4,812.8,3
Dengue,Ilocos Region,dry,True,both,3,422.6,209.8,3
Dengue,Ilocos Region,wet,True,season_p75,1,2226.2,1605.5,3
Dengue,MIMAROPA,dry,True,both,3,890.7,731.5,3
Dengue,MIMAROPA,wet,True,season_p75,1,2577.7,1957.2,3
Dengue,National,dry,True,both,3,20541.1,15266.0,3
Dengue,National,wet,True,season_p75,1,52910.5,44641.5,3
Dengue,National Capital Region,dry,True,both,3,2075.3,1800.5,3
Dengue,National Capital Region,wet,False,none,1,5157.0,5445.2,3
Dengue,Negros Island Region,dry,False,none,0,250.8,431.5,3
Dengue,Negros Island Region,wet,True,both,3,3889.3,1827.5,3
Dengue,Northern Mindanao,dry,True,both,3,1744.3,1365.8,3
Dengue,Northern Mindanao,wet,True,season_p75,1,2943.4,1909.8,3
Dengue,SOCCSKSARGEN,dry,True,both,3,1921.9,1577.2,3
Dengue,SOCCSKSARGEN,wet,True,both,3,2822.1,1745.0,3
Dengue,Western Visayas,dry,False,none,0,387.2,571.8,3
Dengue,Western Visayas,wet,True,both,3,5471.5,1811.8,3
Dengue,Zamboanga Peninsula,dry,True,both,3,1140.2,981.2,3
Dengue,Zamboanga Peninsula,wet,True,season_p75,1,1846.4,1514.5,3
