date,region,disease,cases,deaths
2022-01-01,Bangsamoro (BARMM),Dengue,157,0
2022-02-01,Bangsamoro (BARMM),Dengue,186,4
2022-03-01,Bangsamoro (BARMM),Dengue,287,2
2022-04-01,Bangsamoro (BARMM),Dengue,440,5
2022-05-01,Bangsamoro (BARMM),Dengue,680,10
2022-06-01,Bangsamoro (BARMM),Dengue,783,7
2022-07-01,Bangsamoro (BARMM),Dengue,859,5
2022-08-01,Bangsamoro (BARMM),Dengue,748,8
2022-09-01,Bangsamoro (BARMM),Dengue,673,3
2022-10-01,Bangsamoro (BARMM),Dengue,499,4
2022-11-01,Bangsamoro (BARMM),Dengue,527,6
2022-12-01,Bangsamoro (BARMM),Dengue,329,4
2023-01-01,Bangsamoro (BARMM),Dengue,452,2
2023-02-01,Bangsamoro (BARMM),Dengue,369,3
2023-03-01,Bangsamoro (BARMM),Dengue,350,4
2023-04-01,Bangsamoro (BARMM),Dengue,325,3
2023-05-01,Bangsamoro (BARMM),Dengue,505,4
2023-06-01,Bangsamoro (BARMM),Dengue,604,0
2023-07-01,Bangsamoro (BARMM),Dengue,854,11
2023-08-01,Bangsamoro (BARMM),Dengue,1019,3
2023-09-01,Bangsamoro (BARMM),Dengue,1009,3
2023-10-01,Bangsamoro (BARMM),Dengue,817,2
2023-11-01,Bangsamoro (BARMM),Dengue,851,3
2023-12-01,Bangsamoro (BARMM),Dengue,604,6
2024-01-01,Bangsamoro (BARMM),Dengue,718,7
2024-02-01,Bangsamoro (BARMM),Dengue,717,2
2024-03-01,Bangsamoro (BARMM),Dengue,779,5
2024-04-01,Bangsamoro (BARMM),Dengue,752,3
2024-05-01,Bangsamoro (BARMM),Dengue,939,6
2024-06-01,Bangsamoro (BARMM),Dengue,1273,3
2024-07-01,Bangsamoro (BARMM),Dengue,1624,10
2024-08-01,Bangsamoro (BARMM),Dengue,1655,11
2024-09-01,Bangsamoro (BARMM),Dengue,1247,7
2024-10-01,Bangsamoro (BARMM),Dengue,924,6
2024-11-01,Bangsamoro (BARMM),Dengue,666,0
2024-12-01,Bangsamoro (BARMM),Dengue,426,1
2025-01-01,Bangsamoro (BARMM),Dengue,623,2
2025-02-01,Bangsamoro (BARMM),Dengue,491,2
2025-03-01,Bangsamoro (BARMM),Dengue,488,4
2025-04-01,Bangsamoro (BARMM),Dengue,457,4
2025-05-01,Bangsamoro (BARMM),Dengue,554,1
2025-06-01,Bangsamoro (BARMM),Dengue,710,1
2025-07-01,Bangsamoro (BARMM),Dengue,756,6
2025-08-01,Bangsamoro (BARMM),Dengue,709,5
2025-09-01,Bangsamoro (BARMM),Dengue,447,1
2025-10-01,Bangsamoro (BARMM),Dengue,411,1
2025-11-01,Bangsamoro (BARMM),Dengue,207,4
2025-12-01,Bangsamoro (BARMM),Dengue,196,4
2026-01-01,Bangsamoro (BARMM),Dengue,336,4
2026-02-01,Bangsamoro (BARMM),Dengue,268,0
2026-03-01,Bangsamoro (BARMM),Dengue,344,2
2026-04-01,Bangsamoro (BARMM),Dengue,361,0
2026-05-01,Bangsamoro (BARMM),Dengue,440,2
2026-06-01,Bangsamoro (BARMM),Dengue,740,4
2026-07-01,Bangsamoro (BARMM),Dengue,977,5
2026-08-01,Bangsamoro (BARMM),Dengue,570,1
2022-01-01,Bicol Region,Dengue,67,2
2022-02-01,Bicol Region,Dengue,85,0
2022-03-01,Bicol Region,Dengue,126,0
2022-04-01,Bicol Region,Dengue,143,1
2022-05-01,Bicol Region,Dengue,264,2
2022-06-01,Bicol Region,Dengue,403,2
2022-07-01,Bicol Region,Dengue,439,3
2022-08-01,Bicol Region,Dengue,325,2
2022-09-01,Bicol Region,Dengue,188,5
2022-10-01,Bicol Region,Dengue,110,4
2022-11-01,Bicol Region,Dengue,97,0
2022-12-01,Bicol Region,Dengue,74,0
2023-01-01,Bicol Region,Dengue,81,1
2023-02-01,Bicol Region,Dengue,69,0
2023-03-01,Bicol Region,Dengue,75,2
2023-04-01,Bicol Region,Dengue,59,0
2023-05-01,Bicol Region,Dengue,76,0
2023-06-01,Bicol Region,Dengue,99,0
2023-07-01,Bicol Region,Dengue,125,0
2023-08-01,Bicol Region,Dengue,134,0
2023-09-01,Bicol Region,Dengue,128,0
2023-10-01,Bicol Region,Dengue,139,0
2023-11-01,Bicol Region,Dengue,171,1
2023-12-01,Bicol Region,Dengue,135,0
2024-01-01,Bicol Region,Dengue,99,2
2024-02-01,Bicol Region,Dengue,50,2
2024-03-01,Bicol Region,Dengue,73,0
2024-04-01,Bicol Region,Dengue,50,0
2024-05-01,Bicol Region,Dengue,41,0
2024-06-01,Bicol Region,Dengue,86,0
2024-07-01,Bicol Region,Dengue,248,1
2024-08-01,Bicol Region,Dengue,330,2
2024-09-01,Bicol Region,Dengue,190,1
2024-10-01,Bicol Region,Dengue,145,0
2024-11-01,Bicol Region,Dengue,126,0
2024-12-01,Bicol Region,Dengue,69,0
2025-01-01,Bicol Region,Dengue,233,2
2025-02-01,Bicol Region,Dengue,240,0
2025-03-01,Bicol Region,Dengue,192,1
2025-04-01,Bicol Region,Dengue,130,2
2025-05-01,Bicol Region,Dengue,125,0
2025-06-01,Bicol Region,Dengue,162,1
2025-07-01,Bicol Region,Dengue,276,2
2025-08-01,Bicol Region,Dengue,368,2
2025-09-01,Bicol Region,Dengue,257,1
2025-10-01,Bicol Region,Dengue,259,2
2025-11-01,Bicol Region,Dengue,156,0
2025-12-01,Bicol Region,Dengue,115,0
2026-01-01,Bicol Region,Dengue,183,1
2026-02-01,Bicol Region,Dengue,134,0
2026-03-01,Bicol Region,Dengue,102,1
2026-04-01,Bicol Region,Dengue,118,3
2026-05-01,Bicol Region,Dengue,115,1
2026-06-01,Bicol Region,Dengue,202,0
2026-07-01,Bicol Region,Dengue,464,3
2026-08-01,Bicol Region,Dengue,328,2
2022-01-01,CALABARZON,Dengue,530,3
2022-02-01,CALABARZON,Dengue,570,0
2022-03-01,CALABARZON,Dengue,727,3
2022-04-01,CALABARZON,Dengue,836,3
2022-05-01,CALABARZON,Dengue,1598,4
2022-06-01,CALABARZON,Dengue,2951,8
2022-07-01,CALABARZON,Dengue,5294,8
2022-08-01,CALABARZON,Dengue,5020,11
2022-09-01,CALABARZON,Dengue,3815,7
2022-10-01,CALABARZON,Dengue,2470,6
2022-11-01,CALABARZON,Dengue,1981,14
2022-12-01,CALABARZON,Dengue,1334,4
2023-01-01,CALABARZON,Dengue,1420,2
2023-02-01,CALABARZON,Dengue,1096,0
2023-03-01,CALABARZON,Dengue,999,4
2023-04-01,CALABARZON,Dengue,988,5
2023-05-01,CALABARZON,Dengue,1121,6
2023-06-01,CALABARZON,Dengue,2163,1
2023-07-01,CALABARZON,Dengue,2007,6
2023-08-01,CALABARZON,Dengue,2099,5
2023-09-01,CALABARZON,Dengue,2575,9
2023-10-01,CALABARZON,Dengue,3097,2
2023-11-01,CALABARZON,Dengue,2673,3
2023-12-01,CALABARZON,Dengue,1779,4
2024-01-01,CALABARZON,Dengue,1949,8
2024-02-01,CALABARZON,Dengue,1441,3
2024-03-01,CALABARZON,Dengue,1131,2
2024-04-01,CALABARZON,Dengue,970,2
2024-05-01,CALABARZON,Dengue,978,3
2024-06-01,CALABARZON,Dengue,1581,11
2024-07-01,CALABARZON,Dengue,4251,10
2024-08-01,CALABARZON,Dengue,6656,24
2024-09-01,CALABARZON,Dengue,6233,22
2024-10-01,CALABARZON,Dengue,7860,27
2024-11-01,CALABARZON,Dengue,8435,30
2024-12-01,CALABARZON,Dengue,6814,16
2025-01-01,CALABARZON,Dengue,7426,16
2025-02-01,CALABARZON,Dengue,5590,11
2025-03-01,CALABARZON,Dengue,3799,13
2025-04-01,CALABARZON,Dengue,2034,5
2025-05-01,CALABARZON,Dengue,1609,5
2025-06-01,CALABARZON,Dengue,2351,11
2025-07-01,CALABARZON,Dengue,4551,24
2025-08-01,CALABARZON,Dengue,5861,20
2025-09-01,CALABARZON,Dengue,4962,15
2025-10-01,CALABARZON,Dengue,5096,32
2025-11-01,CALABARZON,Dengue,2274,16
2025-12-01,CALABARZON,Dengue,1785,6
2026-01-01,CALABARZON,Dengue,2769,7
2026-02-01,CALABARZON,Dengue,1625,10
2026-03-01,CALABARZON,Dengue,1239,12
2026-04-01,CALABARZON,Dengue,1025,1
2026-05-01,CALABARZON,Dengue,1031,3
2026-06-01,CALABARZON,Dengue,1395,9
2026-07-01,CALABARZON,Dengue,2270,5
2026-08-01,CALABARZON,Dengue,1490,4
2022-01-01,Cagayan Valley,Dengue,332,0
2022-02-01,Cagayan Valley,Dengue,354,2
2022-03-01,Cagayan Valley,Dengue,403,2
2022-04-01,Cagayan Valley,Dengue,658,0
2022-05-01,Cagayan Valley,Dengue,1342,9
2022-06-01,Cagayan Valley,Dengue,3013,4
2022-07-01,Cagayan Valley,Dengue,4154,4
2022-08-01,Cagayan Valley,Dengue,3205,2
2022-09-01,Cagayan Valley,Dengue,2693,1
2022-10-01,Cagayan Valley,Dengue,1743,5
2022-11-01,Cagayan Valley,Dengue,1530,1
2022-12-01,Cagayan Valley,Dengue,829,6
2023-01-01,Cagayan Valley,Dengue,579,1
2023-02-01,Cagayan Valley,Dengue,352,1
2023-03-01,Cagayan Valley,Dengue,286,1
