date,region,disease,cases
2016-01-10,BARMM,Dengue,28
2016-01-17,BARMM,Dengue,32
2016-01-24,BARMM,Dengue,30
2016-01-31,BARMM,Dengue,36
2016-02-07,BARMM,Dengue,27
2016-02-14,BARMM,Dengue,27
2016-02-21,BARMM,Dengue,27
2016-02-28,BARMM,Dengue,11
2016-03-06,BARMM,Dengue,20
2016-03-13,BARMM,Dengue,33
2016-03-20,BARMM,Dengue,26
2016-03-27,BARMM,Dengue,28
2016-04-03,BARMM,Dengue,18
2016-04-10,BARMM,Dengue,33
2016-04-17,BARMM,Dengue,23
2016-04-24,BARMM,Dengue,35
2016-05-01,BARMM,Dengue,32
2016-05-08,BARMM,Dengue,29
2016-05-15,BARMM,Dengue,37
2016-05-22,BARMM,Dengue,30
2016-05-29,BARMM,Dengue,37
2016-06-05,BARMM,Dengue,53
2016-06-12,BARMM,Dengue,59
2016-06-19,BARMM,Dengue,84
2016-06-26,BARMM,Dengue,67
2016-07-03,BARMM,Dengue,110
2016-07-10,BARMM,Dengue,84
2016-07-17,BARMM,Dengue,125
2016-07-24,BARMM,Dengue,81
2016-07-31,BARMM,Dengue,91
2016-08-07,BARMM,Dengue,113
2016-08-14,BARMM,Dengue,79
2016-08-21,BARMM,Dengue,69
2016-08-28,BARMM,Dengue,66
2016-09-04,BARMM,Dengue,0
2016-09-11,BARMM,Dengue,75
2016-09-18,BARMM,Dengue,0
2016-09-25,BARMM,Dengue,49
2016-10-02,BARMM,Dengue,1
2016-10-09,BARMM,Dengue,46
2016-10-16,BARMM,Dengue,0
2016-10-23,BARMM,Dengue,35
2016-10-30,BARMM,Dengue,0
2016-11-06,BARMM,Dengue,37
2016-11-13,BARMM,Dengue,0
2016-11-20,BARMM,Dengue,38
2016-11-27,BARMM,Dengue,68
2016-12-04,BARMM,Dengue,37
2016-12-11,BARMM,Dengue,50
2016-12-18,BARMM,Dengue,36
2016-12-25,BARMM,Dengue,39
2017-01-01,BARMM,Dengue,22
2017-01-08,BARMM,Dengue,11
2017-01-15,BARMM,Dengue,9
2017-01-22,BARMM,Dengue,14
2017-01-29,BARMM,Dengue,18
2017-02-05,BARMM,Dengue,16
2017-02-12,BARMM,Dengue,13
2017-02-19,BARMM,Dengue,17
2017-02-26,BARMM,Dengue,13
2017-03-05,BARMM,Dengue,9
2017-03-12,BARMM,Dengue,10
2017-03-19,BARMM,Dengue,4
2017-03-26,BARMM,Dengue,2
2017-04-02,BARMM,Dengue,8
2017-04-09,BARMM,Dengue,6
2017-04-16,BARMM,Dengue,6
2017-04-23,BARMM,Dengue,5
2017-04-30,BARMM,Dengue,11
2017-05-07,BARMM,Dengue,3
2017-05-14,BARMM,Dengue,10
2017-05-21,BARMM,Dengue,5
2017-05-28,BARMM,Dengue,4
2017-06-04,BARMM,Dengue,15
2017-06-11,BARMM,Dengue,8
2017-06-18,BARMM,Dengue,20
2017-06-25,BARMM,Dengue,14
2017-07-02,BARMM,Dengue,17
2017-07-09,BARMM,Dengue,16
2017-07-16,BARMM,Dengue,11
2017-07-23,BARMM,Dengue,8
2017-07-30,BARMM,Dengue,10
2017-08-06,BARMM,Dengue,12
2017-08-13,BARMM,Dengue,6
2017-08-20,BARMM,Dengue,8
2017-08-27,BARMM,Dengue,15
2017-09-03,BARMM,Dengue,19
2017-09-10,BARMM,Dengue,10
2017-09-17,BARMM,Dengue,3
2017-09-24,BARMM,Dengue,1
2017-10-01,BARMM,Dengue,8
2017-10-08,BARMM,Dengue,2
2017-10-15,BARMM,Dengue,10
2017-10-22,BARMM,Dengue,6
2017-10-29,BARMM,Dengue,12
2017-11-05,BARMM,Dengue,2
2017-11-12,BARMM,Dengue,8
2017-11-19,BARMM,Dengue,2
2017-11-26,BARMM,Dengue,5
2017-12-03,BARMM,Dengue,2
2017-12-10,BARMM,Dengue,1
2017-12-17,BARMM,Dengue,3
2017-12-24,BARMM,Dengue,9
2017-12-31,BARMM,Dengue,6
2018-01-07,BARMM,Dengue,32
2018-01-14,BARMM,Dengue,40
2018-01-21,BARMM,Dengue,40
2018-01-28,BARMM,Dengue,37
2018-02-04,BARMM,Dengue,33
2018-02-11,BARMM,Dengue,34
2018-02-18,BARMM,Dengue,44
2018-02-25,BARMM,Dengue,18
2018-03-04,BARMM,Dengue,21
2018-03-11,BARMM,Dengue,21
2018-03-18,BARMM,Dengue,14
2018-03-25,BARMM,Dengue,21
2018-04-01,BARMM,Dengue,21
2018-04-08,BARMM,Dengue,39
2018-04-15,BARMM,Dengue,17
2018-04-22,BARMM,Dengue,27
2018-04-29,BARMM,Dengue,20
2018-05-06,BARMM,Dengue,37
2018-05-13,BARMM,Dengue,31
2018-05-20,BARMM,Dengue,49
2018-05-27,BARMM,Dengue,47
2018-06-03,BARMM,Dengue,43
2018-06-10,BARMM,Dengue,56
2018-06-17,BARMM,Dengue,69
2018-06-24,BARMM,Dengue,86
2018-07-01,BARMM,Dengue,70
2018-07-08,BARMM,Dengue,72
2018-07-15,BARMM,Dengue,105
2018-07-22,BARMM,Dengue,97
2018-07-29,BARMM,Dengue,68
2018-08-05,BARMM,Dengue,61
2018-08-12,BARMM,Dengue,56
2018-08-19,BARMM,Dengue,78
2018-08-26,BARMM,Dengue,58
2018-09-02,BARMM,Dengue,63
2018-09-09,BARMM,Dengue,61
2018-09-16,BARMM,Dengue,34
2018-09-23,BARMM,Dengue,55
2018-09-30,BARMM,Dengue,48
2018-10-07,BARMM,Dengue,69
2018-10-14,BARMM,Dengue,83
2018-10-21,BARMM,Dengue,40
2018-10-28,BARMM,Dengue,54
2018-11-04,BARMM,Dengue,46
2018-11-11,BARMM,Dengue,43
2018-11-18,BARMM,Dengue,48
2018-11-25,BARMM,Dengue,46
2018-12-02,BARMM,Dengue,42
2018-12-09,BARMM,Dengue,33
2018-12-16,BARMM,Dengue,64
2018-12-23,BARMM,Dengue,45
2018-12-30,BARMM,Dengue,24
2019-01-06,BARMM,Dengue,0
2019-01-13,BARMM,Dengue,53
2019-01-20,BARMM,Dengue,72
2019-01-27,BARMM,Dengue,76
2019-02-03,BARMM,Dengue,74
2019-02-10,BARMM,Dengue,73
2019-02-17,BARMM,Dengue,84
2019-02-24,BARMM,Dengue,78
2019-03-03,BARMM,Dengue,76
2019-03-10,BARMM,Dengue,76
2019-03-17,BARMM,Dengue,62
2019-03-24,BARMM,Dengue,46
2019-03-31,BARMM,Dengue,43
2019-04-07,BARMM,Dengue,48
2019-04-14,BARMM,Dengue,67
2019-04-21,BARMM,Dengue,47
2019-04-28,BARMM,Dengue,59
2019-05-05,BARMM,Dengue,73
2019-05-12,BARMM,Dengue,56
2019-05-19,BARMM,Dengue,68
2019-05-26,BARMM,Dengue,87
2019-06-02,BARMM,Dengue,95
2019-06-09,BARMM,Dengue,109
2019-06-16,BARMM,Dengue,103
2019-06-23,BARMM,Dengue,102
2019-06-30,BARMM,Dengue,145
2019-07-07,BARMM,Dengue,138
2019-07-14,BARMM,Dengue,180
2019-07-21,BARMM,Dengue,189
2019-07-28,BARMM,Dengue,265
2019-08-04,BARMM,Dengue,220
2019-08-11,BARMM,Dengue,246
2019-08-18,BARMM,Dengue,193
2019-08-25,BARMM,Dengue,152
2019-09-01,BARMM,Dengue,176
2019-09-08,BARMM,Dengue,184
2019-09-15,BARMM,Dengue,170
2019-09-22,BARMM,Dengue,142
2019-09-29,BARMM,Dengue,135
2019-10-06,BARMM,Dengue,94
2019-10-13,BARMM,Dengue,130
2019-10-20,BARMM,Dengue,117
2019-10-27,BARMM,Dengue,140
2019-11-03,BARMM,Dengue,106
2019-11-10,BARMM,Dengue,106
2019-11-17,BARMM,Dengue,78
2019-11-24,BARMM,Dengue,72
2019-12-01,BARMM,Dengue,71
2019-12-08,BARMM,Dengue,70
2019-12-15,BARMM,Dengue,56
2019-12-22,BARMM,Dengue,54
2019-12-29,BARMM,Dengue,37
2020-01-05,BARMM,Dengue,56
2020-01-12,BARMM,Dengue,45
2020-01-19,BARMM,Dengue,56
2020-01-26,BARMM,Dengue,55
2020-02-02,BARMM,Dengue,64
2020-02-09,BARMM,Dengue,55
2020-02-16,BARMM,Dengue,67
2020-02-23,BARMM,Dengue,47
2020-03-01,BARMM,Dengue,63
2020-03-08,BARMM,Dengue,45
2020-03-15,BARMM,Dengue,49
2020-03-22,BARMM,Dengue,32
2020-03-29,BARMM,Dengue,18
2020-04-05,BARMM,Dengue,7
2020-04-12,BARMM,Dengue,5
2020-04-19,BARMM,Dengue,7
2020-04-26,BARMM,Dengue,4
2020-05-03,BARMM,Dengue,7
2020-05-10,BARMM,Dengue,2
2020-05-17,BARMM,Dengue,5
2020-05-24,BARMM,Dengue,7
2020-05-31,BARMM,Dengue,6
2020-06-07,BARMM,Dengue,11
2020-06-14,BARMM,Dengue,7
2020-06-21,BARMM,Dengue,15
2020-06-28,BARMM,Dengue,15
2020-07-05,BARMM,Dengue,17
2020-07-12,BARMM,Dengue,17
2020-07-19,BARMM,Dengue,29
2020-07-26,BARMM,Dengue,37
2020-08-02,BARMM,Dengue,17
2020-08-09,BARMM,Dengue,17
2020-08-16,BARMM,Dengue,18
2020-08-23,BARMM,Dengue,23
2020-08-30,BARMM,Dengue,16
2020-09-06,BARMM,Dengue,0
2020-09-13,BARMM,Dengue,9
2020-09-20,BARMM,Dengue,0
2020-09-27,BARMM,Dengue,7
2020-10-04,BARMM,Dengue,0
2020-10-11,BARMM,Dengue,7
2020-10-18,BARMM,Dengue,0
2020-10-25,BARMM,Dengue,6
2020-11-01,BARMM,Dengue,0
2020-11-08,BARMM,Dengue,5
2020-11-15,BARMM,Dengue,0
2020-11-22,BARMM,Dengue,5
2020-11-29,BARMM,Dengue,5
2020-12-06,BARMM,Dengue,4
2020-12-13,BARMM,Dengue,6
2020-12-20,BARMM,Dengue,9
2020-12-27,BARMM,Dengue,4
2021-01-03,BARMM,Dengue,3
2021-01-10,BARMM,Dengue,0
2016-01-10,CAR,Dengue,201
2016-01-17,CAR,Dengue,161
2016-01-24,CAR,Dengue,102
2016-01-31,CAR,Dengue,115
2016-02-07,CAR,Dengue,80
2016-02-14,CAR,Dengue,80
2016-02-21,CAR,Dengue,75
2016-02-28,CAR,Dengue,41
2016-03-06,CAR,Dengue,41
2016-03-13,CAR,Dengue,55
2016-03-20,CAR,Dengue,59
2016-03-27,CAR,Dengue,36
2016-04-03,CAR,Dengue,49
2016-04-10,CAR,Dengue,51
2016-04-17,CAR,Dengue,59
2016-04-24,CAR,Dengue,67
2016-05-01,CAR,Dengue,76
2016-05-08,CAR,Dengue,69
2016-05-15,CAR,Dengue,85
2016-05-22,CAR,Dengue,120
2016-05-29,CAR,Dengue,154
2016-06-05,CAR,Dengue,209
2016-06-12,CAR,Dengue,317
2016-06-19,CAR,Dengue,388
2016-06-26,CAR,Dengue,444
2016-07-03,CAR,Dengue,466
2016-07-10,CAR,Dengue,372
2016-07-17,CAR,Dengue,576
2016-07-24,CAR,Dengue,580
2016-07-31,CAR,Dengue,775
2016-08-07,CAR,Dengue,654
2016-08-14,CAR,Dengue,561
2016-08-21,CAR,Dengue,516
2016-08-28,CAR,Dengue,448
2016-09-04,CAR,Dengue,1
2016-09-11,CAR,Dengue,273
2016-09-18,CAR,Dengue,0
2016-09-25,CAR,Dengue,264
2016-10-02,CAR,Dengue,0
2016-10-09,CAR,Dengue,181
2016-10-16,CAR,Dengue,0
2016-10-23,CAR,Dengue,80
2016-10-30,CAR,Dengue,0
2016-11-06,CAR,Dengue,68
2016-11-13,CAR,Dengue,0
2016-11-20,CAR,Dengue,53
2016-11-27,CAR,Dengue,40
2016-12-04,CAR,Dengue,39
2016-12-11,CAR,Dengue,17
2016-12-18,CAR,Dengue,31
2016-12-25,CAR,Dengue,35
2017-01-01,CAR,Dengue,14
2017-01-08,CAR,Dengue,31
2017-01-15,CAR,Dengue,34
2017-01-22,CAR,Dengue,44
2017-01-29,CAR,Dengue,43
2017-02-05,CAR,Dengue,33
2017-02-12,CAR,Dengue,39
2017-02-19,CAR,Dengue,28
2017-02-26,CAR,Dengue,23
2017-03-05,CAR,Dengue,26
2017-03-12,CAR,Dengue,20
2017-03-19,CAR,Dengue,21
2017-03-26,CAR,Dengue,9
2017-04-02,CAR,Dengue,14
2017-04-09,CAR,Dengue,15
2017-04-16,CAR,Dengue,23
2017-04-23,CAR,Dengue,12
2017-04-30,CAR,Dengue,12
2017-05-07,CAR,Dengue,16
2017-05-14,CAR,Dengue,14
2017-05-21,CAR,Dengue,8
2017-05-28,CAR,Dengue,19
2017-06-04,CAR,Dengue,33
2017-06-11,CAR,Dengue,37
2017-06-18,CAR,Dengue,38
2017-06-25,CAR,Dengue,38
2017-07-02,CAR,Dengue,47
2017-07-09,CAR,Dengue,85
2017-07-16,CAR,Dengue,125
2017-07-23,CAR,Dengue,115
2017-07-30,CAR,Dengue,160
2017-08-06,CAR,Dengue,162
2017-08-13,CAR,Dengue,300
2017-08-20,CAR,Dengue,225
2017-08-27,CAR,Dengue,154
2017-09-03,CAR,Dengue,178
2017-09-10,CAR,Dengue,113
2017-09-17,CAR,Dengue,179
2017-09-24,CAR,Dengue,140
2017-10-01,CAR,Dengue,145
2017-10-08,CAR,Dengue,157
2017-10-15,CAR,Dengue,125
2017-10-22,CAR,Dengue,122
2017-10-29,CAR,Dengue,112
2017-11-05,CAR,Dengue,69
2017-11-12,CAR,Dengue,114
2017-11-19,CAR,Dengue,98
2017-11-26,CAR,Dengue,110
2017-12-03,CAR,Dengue,98
2017-12-10,CAR,Dengue,99
2017-12-17,CAR,Dengue,70
2017-12-24,CAR,Dengue,62
2017-12-31,CAR,Dengue,37
2018-01-07,CAR,Dengue,77
2018-01-14,CAR,Dengue,75
2018-01-21,CAR,Dengue,77
2018-01-28,CAR,Dengue,91
2018-02-04,CAR,Dengue,63
2018-02-11,CAR,Dengue,50
2018-02-18,CAR,Dengue,59
2018-02-25,CAR,Dengue,62
2018-03-04,CAR,Dengue,49
2018-03-11,CAR,Dengue,31
2018-03-18,CAR,Dengue,52
2018-03-25,CAR,Dengue,41
2018-04-01,CAR,Dengue,31
2018-04-08,CAR,Dengue,21
2018-04-15,CAR,Dengue,27
2018-04-22,CAR,Dengue,24
2018-04-29,CAR,Dengue,25
2018-05-06,CAR,Dengue,31
2018-05-13,CAR,Dengue,31
2018-05-20,CAR,Dengue,60
2018-05-27,CAR,Dengue,66
2018-06-03,CAR,Dengue,81
2018-06-10,CAR,Dengue,105
2018-06-17,CAR,Dengue,143
2018-06-24,CAR,Dengue,138
2018-07-01,CAR,Dengue,177
2018-07-08,CAR,Dengue,189
2018-07-15,CAR,Dengue,237
2018-07-22,CAR,Dengue,322
2018-07-29,CAR,Dengue,405
2018-08-05,CAR,Dengue,331
2018-08-12,CAR,Dengue,339
2018-08-19,CAR,Dengue,324
2018-08-26,CAR,Dengue,271
2018-09-02,CAR,Dengue,237
2018-09-09,CAR,Dengue,252
2018-09-16,CAR,Dengue,225
2018-09-23,CAR,Dengue,300
2018-09-30,CAR,Dengue,207
2018-10-07,CAR,Dengue,234
2018-10-14,CAR,Dengue,265
2018-10-21,CAR,Dengue,202
2018-10-28,CAR,Dengue,214
2018-11-04,CAR,Dengue,206
2018-11-11,CAR,Dengue,146
2018-11-18,CAR,Dengue,198
2018-11-25,CAR,Dengue,99
2018-12-02,CAR,Dengue,107
2018-12-09,CAR,Dengue,134
2018-12-16,CAR,Dengue,133
2018-12-23,CAR,Dengue,169
2018-12-30,CAR,Dengue,151
2019-01-06,CAR,Dengue,0
2019-01-13,CAR,Dengue,126
2019-01-20,CAR,Dengue,173
2019-01-27,CAR,Dengue,171
2019-02-03,CAR,Dengue,148
2019-02-10,CAR,Dengue,187
2019-02-17,CAR,Dengue,200
2019-02-24,CAR,Dengue,159
2019-03-03,CAR,Dengue,119
2019-03-10,CAR,Dengue,65
2019-03-17,CAR,Dengue,89
2019-03-24,CAR,Dengue,65
2019-03-31,CAR,Dengue,60
2019-04-07,CAR,Dengue,39
2019-04-14,CAR,Dengue,53
2019-04-21,CAR,Dengue,34
2019-04-28,CAR,Dengue,37
2019-05-05,CAR,Dengue,35
2019-05-12,CAR,Dengue,56
2019-05-19,CAR,Dengue,46
2019-05-26,CAR,Dengue,50
2019-06-02,CAR,Dengue,59
2019-06-09,CAR,Dengue,75
2019-06-16,CAR,Dengue,81
2019-06-23,CAR,Dengue,145
2019-06-30,CAR,Dengue,187
2019-07-07,CAR,Dengue,233
2019-07-14,CAR,Dengue,334
2019-07-21,CAR,Dengue,333
2019-07-28,CAR,Dengue,326
2019-08-04,CAR,Dengue,421
2019-08-11,CAR,Dengue,420
2019-08-18,CAR,Dengue,389
2019-08-25,CAR,Dengue,306
2019-09-01,CAR,Dengue,337
2019-09-08,CAR,Dengue,342
2019-09-15,CAR,Dengue,322
2019-09-22,CAR,Dengue,239
2019-09-29,CAR,Dengue,232
2019-10-06,CAR,Dengue,297
2019-10-13,CAR,Dengue,220
2019-10-20,CAR,Dengue,256
2019-10-27,CAR,Dengue,219
2019-11-03,CAR,Dengue,234
2019-11-10,CAR,Dengue,203
2019-11-17,CAR,Dengue,178
2019-11-24,CAR,Dengue,141
2019-12-01,CAR,Dengue,99
2019-12-08,CAR,Dengue,72
2019-12-15,CAR,Dengue,65
2019-12-22,CAR,Dengue,57
2019-12-29,CAR,Dengue,74
2020-01-05,CAR,Dengue,70
2020-01-12,CAR,Dengue,38
2020-01-19,CAR,Dengue,72
2020-01-26,CAR,Dengue,49
2020-02-02,CAR,Dengue,69
2020-02-09,CAR,Dengue,40
