disease,region,date,yhat,p50,p75,risk_level
Dengue,Bangsamoro (BARMM),2026-09-01,703.5515026946562,1009.0,1128.0,Low
Dengue,Bangsamoro (BARMM),2026-10-01,696.08699323018,817.0,870.5,Low
Dengue,Bangsamoro (BARMM),2026-11-01,688.3736667835548,666.0,758.5,Moderate
Dengue,Bangsamoro (BARMM),2026-12-01,373.4021096069442,426.0,515.0,Low
Dengue,Bangsamoro (BARMM),2027-01-01,369.1722173572984,452.0,585.0,Low
Dengue,Bangsamoro (BARMM),2027-02-01,364.9423251076524,369.0,543.0,Low
Dengue,Bangsamoro (BARMM),2027-03-01,361.1217772692625,350.0,564.5,Moderate
Dengue,Bangsamoro (BARMM),2027-04-01,356.8918850196165,440.0,596.0,Low
Dengue,Bangsamoro (BARMM),2027-05-01,352.798440907056,680.0,809.5,Low
Dengue,Bangsamoro (BARMM),2027-06-01,635.6244665679237,783.0,1028.0,Low
Dengue,Bangsamoro (BARMM),2027-07-01,628.1599571034476,859.0,1241.5,Low
Dengue,Bangsamoro (BARMM),2027-08-01,620.4466306568224,1019.0,1337.0,Low
Dengue,Bicol Region,2026-09-01,257.3658268842064,188.0,189.0,High
Dengue,Bicol Region,2026-10-01,258.69724202966165,139.0,142.0,High
Dengue,Bicol Region,2026-11-01,260.07303767996547,126.0,148.5,High
Dengue,Bicol Region,2026-12-01,137.80505808878254,74.0,104.5,High
Dengue,Bicol Region,2027-01-01,138.53033876957883,81.0,90.0,High
Dengue,Bicol Region,2027-02-01,139.25561945037512,69.0,77.0,High
Dengue,Bicol Region,2027-03-01,139.91071167819112,75.0,100.5,High
Dengue,Bicol Region,2027-04-01,140.63599235898744,59.0,101.0,High
Dengue,Bicol Region,2027-05-01,141.3378768887903,76.0,170.0,Moderate
Dengue,Bicol Region,2027-06-01,269.48170470784925,99.0,251.0,High
Dengue,Bicol Region,2027-07-01,270.8131198533045,248.0,343.5,Moderate
Dengue,Bicol Region,2027-08-01,272.1889155036083,325.0,327.5,Low
Dengue,CALABARZON,2026-09-01,4319.542971850808,3815.0,5024.0,Moderate
Dengue,CALABARZON,2026-10-01,4340.538944844201,3097.0,5478.5,Moderate
Dengue,CALABARZON,2026-11-01,4362.234783604042,2673.0,5554.0,Moderate
Dengue,CALABARZON,2026-12-01,2354.4389462966114,1779.0,4296.5,Moderate
Dengue,CALABARZON,2027-01-01,2366.0927994896824,1420.0,1684.5,High
Dengue,CALABARZON,2027-02-01,2377.746652682753,1096.0,1268.5,High
Dengue,CALABARZON,2027-03-01,2388.2727136313333,999.0,1065.0,High
Dengue,CALABARZON,2027-04-01,2399.926566824404,970.0,979.0,High
Dengue,CALABARZON,2027-05-01,2411.204489269312,1121.0,1359.5,High
Dengue,CALABARZON,2027-06-01,4510.60632609069,2163.0,2557.0,High
Dengue,CALABARZON,2027-07-01,4531.602299084085,4251.0,4772.5,Moderate
Dengue,CALABARZON,2027-08-01,4553.298137843924,5020.0,5838.0,Low
Dengue,Cagayan Valley,2026-09-01,844.8005643104206,2693.0,2700.0,Low
Dengue,Cagayan Valley,2026-10-01,816.1303832255361,1743.0,1880.5,Low
Dengue,Cagayan Valley,2026-11-01,786.5045294378225,1424.0,1477.0,Low
Dengue,Cagayan Valley,2026-12-01,218.2486253387375,829.0,904.0,Low
Dengue,Cagayan Valley,2027-01-01,209.716679171732,579.0,590.5,Low
Dengue,Cagayan Valley,2027-02-01,201.18473300472647,354.0,364.5,Low
Dengue,Cagayan Valley,2027-03-01,193.47845904743124,286.0,344.5,Low
Dengue,Cagayan Valley,2027-04-01,184.94651288042576,282.0,470.0,Low
Dengue,Cagayan Valley,2027-05-01,176.68979078332362,400.0,871.0,Low
Dengue,Cagayan Valley,2027-06-01,583.9019164379733,778.0,1895.5,Low
Dengue,Cagayan Valley,2027-07-01,555.2317353530892,2249.0,3201.5,Low
Dengue,Cagayan Valley,2027-08-01,525.6058815653754,3205.0,3467.5,Low
Dengue,Caraga,2026-09-01,811.1478664673143,697.0,1461.0,Moderate
Dengue,Caraga,2026-10-01,811.3323716494755,630.0,1157.5,Moderate
Dengue,Caraga,2026-11-01,811.5230270043752,721.0,1182.5,Moderate
Dengue,Caraga,2026-12-01,551.1930531079025,856.0,1025.0,Low
Dengue,Caraga,2027-01-01,551.32251834383,599.0,871.0,Low
Dengue,Caraga,2027-02-01,551.4519835797574,359.0,557.5,Moderate
Dengue,Caraga,2027-03-01,551.5689199218854,347.0,490.5,High
Dengue,Caraga,2027-04-01,551.6983851578128,432.0,494.0,High
Dengue,Caraga,2027-05-01,551.8236740958071,505.0,671.0,Moderate
Dengue,Caraga,2027-06-01,812.8268636249803,620.0,821.0,Moderate
Dengue,Caraga,2027-07-01,813.0113688071415,737.0,1255.0,Moderate
Dengue,Caraga,2027-08-01,813.2020241620412,710.0,1789.0,Moderate
Dengue,Central Luzon,2026-09-01,5587.106820529932,5215.0,5772.5,Moderate
Dengue,Central Luzon,2026-10-01,5592.10051238233,4520.0,4980.5,High
Dengue,Central Luzon,2026-11-01,5597.260660629809,3246.0,4761.5,High
Dengue,Central Luzon,2026-12-01,2237.458828845409,2349.0,4166.5,Low
Dengue,Central Luzon,2027-01-01,2239.519716932248,1484.0,1671.0,High
Dengue,Central Luzon,2027-02-01,2241.5806050190863,894.0,972.0,High
Dengue,Central Luzon,2027-03-01,2243.442052323328,810.0,853.0,High
Dengue,Central Luzon,2027-04-01,2245.5029404101665,809.0,977.0,High
Dengue,Central Luzon,2027-05-01,2247.49734823614,1085.0,1974.0,High
Dengue,Central Luzon,2027-06-01,5632.549416386758,2132.0,4457.5,High
Dengue,Central Luzon,2027-07-01,5637.543108239155,4919.0,8856.0,Moderate
Dengue,Central Luzon,2027-08-01,5642.703256486634,8236.0,9152.5,Low
Dengue,Central Visayas,2026-09-01,1780.4306059505725,1379.0,3747.5,Moderate
Dengue,Central Visayas,2026-10-01,1779.7022035328396,992.0,2533.0,Moderate
Dengue,Central Visayas,2026-11-01,1778.949521034516,1133.0,2070.5,Moderate
Dengue,Central Visayas,2026-12-01,910.840643948176,1185.0,1556.5,Low
Dengue,Central Visayas,2027-01-01,910.4551048246756,633.0,1125.0,Moderate
Dengue,Central Visayas,2027-02-01,910.069565701175,698.0,978.5,Moderate
Dengue,Central Visayas,2027-03-01,909.7213368154324,1030.0,1094.0,Low
Dengue,Central Visayas,2027-04-01,909.3357976919318,744.0,1057.5,Moderate
Dengue,Central Visayas,2027-05-01,908.9626953143506,690.0,1420.0,Moderate
Dengue,Central Visayas,2027-06-01,1773.802143949205,810.0,1731.5,High
Dengue,Central Visayas,2027-07-01,1773.0737415314725,2203.0,2603.0,Low
Dengue,Central Visayas,2027-08-01,1772.321059033149,1725.0,4845.5,Moderate
Dengue,Cordillera Administrative Region,2026-09-01,1346.519513358678,2216.0,3563.0,Low
Dengue,Cordillera Administrative Region,2026-10-01,1374.3029684255905,1530.0,1774.0,Low
Dengue,Cordillera Administrative Region,2026-11-01,1403.0125386614,962.0,1028.5,High
Dengue,Cordillera Administrative Region,2026-12-01,28.123216311328584,705.0,711.5,Low
Dengue,Cordillera Administrative Region,2027-01-01,28.68752139569148,393.0,440.0,Low
Dengue,Cordillera Administrative Region,2027-02-01,29.251826480054373,289.0,292.5,Low
Dengue,Cordillera Administrative Region,2027-03-01,29.7615213949628,222.0,246.0,Low
