disease,region,month,p50,p75
Dengue,Bangsamoro (BARMM),1,452.0,585.0
Dengue,Bangsamoro (BARMM),2,369.0,543.0
Dengue,Bangsamoro (BARMM),3,350.0,564.5
Dengue,Bangsamoro (BARMM),4,440.0,596.0
Dengue,Bangsamoro (BARMM),5,680.0,809.5
Dengue,Bangsamoro (BARMM),6,783.0,1028.0
Dengue,Bangsamoro (BARMM),7,859.0,1241.5
Dengue,Bangsamoro (BARMM),8,1019.0,1337.0
Dengue,Bangsamoro (BARMM),9,1009.0,1128.0
Dengue,Bangsamoro (BARMM),10,817.0,870.5
Dengue,Bangsamoro (BARMM),11,666.0,758.5
Dengue,Bangsamoro (BARMM),12,426.0,515.0
Dengue,Bicol Region,1,81.0,90.0
Dengue,Bicol Region,2,69.0,77.0
Dengue,Bicol Region,3,75.0,100.5
Dengue,Bicol Region,4,59.0,101.0
Dengue,Bicol Region,5,76.0,170.0
Dengue,Bicol Region,6,99.0,251.0
Dengue,Bicol Region,7,248.0,343.5
Dengue,Bicol Region,8,325.0,327.5
Dengue,Bicol Region,9,188.0,189.0
Dengue,Bicol Region,10,139.0,142.0
Dengue,Bicol Region,11,126.0,148.5
Dengue,Bicol Region,12,74.0,104.5
Dengue,CALABARZON,1,1420.0,1684.5
Dengue,CALABARZON,2,1096.0,1268.5
Dengue,CALABARZON,3,999.0,1065.0
Dengue,CALABARZON,4,970.0,979.0
Dengue,CALABARZON,5,1121.0,1359.5
Dengue,CALABARZON,6,2163.0,2557.0
Dengue,CALABARZON,7,4251.0,4772.5
Dengue,CALABARZON,8,5020.0,5838.0
Dengue,CALABARZON,9,3815.0,5024.0
Dengue,CALABARZON,10,3097.0,5478.5
Dengue,CALABARZON,11,2673.0,5554.0
Dengue,CALABARZON,12,1779.0,4296.5
Dengue,Cagayan Valley,1,579.0,590.5
Dengue,Cagayan Valley,2,354.0,364.5
Dengue,Cagayan Valley,3,286.0,344.5
Dengue,Cagayan Valley,4,282.0,470.0
Dengue,Cagayan Valley,5,400.0,871.0
Dengue,Cagayan Valley,6,778.0,1895.5
Dengue,Cagayan Valley,7,2249.0,3201.5
Dengue,Cagayan Valley,8,3205.0,3467.5
Dengue,Cagayan Valley,9,2693.0,2700.0
Dengue,Cagayan Valley,10,1743.0,1880.5
Dengue,Cagayan Valley,11,1424.0,1477.0
Dengue,Cagayan Valley,12,829.0,904.0
Dengue,Caraga,1,599.0,871.0
Dengue,Caraga,2,359.0,557.5
Dengue,Caraga,3,347.0,490.5
Dengue,Caraga,4,432.0,494.0
Dengue,Caraga,5,505.0,671.0
Dengue,Caraga,6,620.0,821.0
Dengue,Caraga,7,737.0,1255.0
Dengue,Caraga,8,710.0,1789.0
Dengue,Caraga,9,697.0,1461.0
Dengue,Caraga,10,630.0,1157.5
Dengue,Caraga,11,721.0,1182.5
Dengue,Caraga,12,856.0,1025.0
Dengue,Central Luzon,1,1484.0,1671.0
Dengue,Central Luzon,2,894.0,972.0
Dengue,Central Luzon,3,810.0,853.0
Dengue,Central Luzon,4,809.0,977.0
Dengue,Central Luzon,5,1085.0,1974.0
Dengue,Central Luzon,6,2132.0,4457.5
Dengue,Central Luzon,7,4919.0,8856.0
Dengue,Central Luzon,8,8236.0,9152.5
Dengue,Central Luzon,9,5215.0,5772.5
Dengue,Central Luzon,10,4520.0,4980.5
Dengue,Central Luzon,11,3246.0,4761.5
Dengue,Central Luzon,12,2349.0,4166.5
Dengue,Central Visayas,1,633.0,1125.0
Dengue,Central Visayas,2,698.0,978.5
Dengue,Central Visayas,3,1030.0,1094.0
Dengue,Central Visayas,4,744.0,1057.5
Dengue,Central Visayas,5,690.0,1420.0
Dengue,Central Visayas,6,810.0,1731.5
Dengue,Central Visayas,7,2203.0,2603.0
Dengue,Central Visayas,8,1725.0,4845.5
Dengue,Central Visayas,9,1379.0,3747.5
Dengue,Central Visayas,10,992.0,2533.0
Dengue,Central Visayas,11,1133.0,2070.5
Dengue,Central Visayas,12,1185.0,1556.5
Dengue,Cordillera Administrative Region,1,393.0,440.0
Dengue,Cordillera Administrative Region,2,289.0,292.5
Dengue,Cordillera Administrative Region,3,222.0,246.0
Dengue,Cordillera Administrative Region,4,292.0,367.0
Dengue,Cordillera Administrative Region,5,882.0,1071.0
Dengue,Cordillera Administrative Region,6,2972.0,3065.5
Dengue,Cordillera Administrative Region,7,3919.0,5469.5
Dengue,Cordillera Administrative Region,8,3241.0,6450.0
Dengue,Cordillera Administrative Region,9,2216.0,3563.0
Dengue,Cordillera Administrative Region,10,1530.0,1774.0
Dengue,Cordillera Administrative Region,11,962.0,1028.5
Dengue,Cordillera Administrative Region,12,705.0,711.5
Dengue,Davao Region,1,1153.0,1640.0
Dengue,Davao Region,2,1064.0,1364.5
Dengue,Davao Region,3,1077.0,1361.5
Dengue,Davao Region,4,1037.0,1154.0
Dengue,Davao Region,5,1255.0,1431.5
Dengue,Davao Region,6,1872.0,1978.5
Dengue,Davao Region,7,2249.0,2882.0
Dengue,Davao Region,8,2574.0,3908.0
Dengue,Davao Region,9,2412.0,3028.5
Dengue,Davao Region,10,1923.0,2229.5
Dengue,Davao Region,11,1873.0,1902.5
Dengue,Davao Region,12,1510.0,1739.0
Dengue,Eastern Visayas,1,338.0,453.5
Dengue,Eastern Visayas,2,291.0,329.0
Dengue,Eastern Visayas,3,348.0,368.5
Dengue,Eastern Visayas,4,255.0,391.0
Dengue,Eastern Visayas,5,424.0,615.0
Dengue,Eastern Visayas,6,573.0,753.0
Dengue,Eastern Visayas,7,969.0,1030.5
Dengue,Eastern Visayas,8,791.0,1374.0
Dengue,Eastern Visayas,9,646.0,733.0
Dengue,Eastern Visayas,10,566.0,583.5
Dengue,Eastern Visayas,11,650.0,687.5
Dengue,Eastern Visayas,12,413.0,511.5
Dengue,Ilocos Region,1,160.0,178.5
