disease,region,target_date,season,yhat,yhat_lower,yhat_upper
Dengue,Bangsamoro (BARMM),2025-01-01,dry,477.938322120572,370.1057860567607,578.2328299267266
Dengue,Bangsamoro (BARMM),2025-02-01,dry,489.81062866048467,385.1831492605856,597.7380846459249
Dengue,Bangsamoro (BARMM),2025-03-01,dry,841.723410061378,743.333554553667,941.5126059245662
Dengue,Bangsamoro (BARMM),2025-07-01,wet,1807.4359255618476,1711.868230799316,1907.2255827270847
Dengue,Bangsamoro (BARMM),2025-08-01,wet,1841.1875551420883,1738.7404011028107,1948.7937714672482
Dengue,Bangsamoro (BARMM),2025-09-01,wet,1496.941546876307,1398.7224908442895,1600.468250222245
Dengue,Bicol Region,2025-01-01,dry,31.83503995393747,0.0,107.14061874265693
Dengue,Bicol Region,2025-02-01,dry,70.55516673205142,0.0,145.00315055855754
Dengue,Bicol Region,2025-03-01,dry,59.974227256411034,0.0,131.8373934150054
Dengue,Bicol Region,2025-07-01,wet,152.46637291261283,78.25779361900547,225.17222065552033
Dengue,Bicol Region,2025-08-01,wet,153.96087404537,78.35003621963465,229.56512662713587
Dengue,Bicol Region,2025-09-01,wet,79.10393960066392,3.977067117288456,153.84655928693843
Dengue,CALABARZON,2025-01-01,dry,0.0,0.0,-2319.8975072737317
Dengue,CALABARZON,2025-02-01,dry,2815.2437404576967,1308.6262035834302,4247.209741064927
Dengue,CALABARZON,2025-03-01,dry,1709.3535099904811,302.5437661388067,3108.826746809572
Dengue,CALABARZON,2025-07-01,wet,5780.058145854919,4327.2252742252585,7108.591260796879
Dengue,CALABARZON,2025-08-01,wet,7468.444596700214,6050.184951918517,8939.661436972003
Dengue,CALABARZON,2025-09-01,wet,6818.414338532973,5374.087621841118,8258.770821649525
Dengue,Cagayan Valley,2025-01-01,dry,177.5881944583159,0.0,974.2115184437824
Dengue,Cagayan Valley,2025-02-01,dry,578.9860246040386,0.0,1367.4482743017047
Dengue,Cagayan Valley,2025-03-01,dry,313.4590756750046,0.0,1068.7161912911797
Dengue,Cagayan Valley,2025-07-01,wet,1756.3324412399045,944.9575983149687,2592.94944615124
Dengue,Cagayan Valley,2025-08-01,wet,2133.7143307875326,1294.7209392259385,2940.5075273233188
Dengue,Cagayan Valley,2025-09-01,wet,1539.8775046544301,681.2141605541722,2313.944685247708
Dengue,Caraga,2025-01-01,dry,402.4883210062748,36.63560651847426,739.2200124936694
Dengue,Caraga,2025-02-01,dry,2619.0250637027807,2271.053807022139,2960.180640958093
Dengue,Caraga,2025-03-01,dry,902.7193152994266,537.064789324233,1265.0368991263101
Dengue,Caraga,2025-07-01,wet,2091.063362400272,1755.5720303610065,2457.863765734432
Dengue,Caraga,2025-08-01,wet,3036.209223078181,2711.4369722418924,3366.2048449388885
Dengue,Caraga,2025-09-01,wet,2465.4730342996218,2123.010300315483,2805.29256983669
Dengue,Central Luzon,2025-01-01,dry,0.0,0.0,1497.021686790481
Dengue,Central Luzon,2025-02-01,dry,422.63010055002104,0.0,2657.618068469695
Dengue,Central Luzon,2025-03-01,dry,753.1434880363889,0.0,2924.8427208271164
Dengue,Central Luzon,2025-07-01,wet,4452.708919921219,2221.5900872191783,6743.246674320871
Dengue,Central Luzon,2025-08-01,wet,4903.711585436815,2719.2815649192407,6989.853968277401
Dengue,Central Luzon,2025-09-01,wet,2687.8605624949905,599.1700877802891,4939.379994776589
Dengue,Central Visayas,2025-01-01,dry,0.0,0.0,-3401.870391593284
Dengue,Central Visayas,2025-02-01,dry,8192.830638693149,7043.122875293758,9394.610150359289
Dengue,Central Visayas,2025-03-01,dry,1570.0853992832494,400.93960003254557,2702.857537920017
Dengue,Central Visayas,2025-07-01,wet,3840.523198408027,2634.4550577775685,5008.679826159336
Dengue,Central Visayas,2025-08-01,wet,8006.926991219404,6819.005445025341,9189.816594352333
Dengue,Central Visayas,2025-09-01,wet,6138.511711562758,4986.556577106194,7331.5928017361575
Dengue,Cordillera Administrative Region,2025-01-01,dry,3808.8669908502034,3728.6461053700823,3889.34442898292
Dengue,Cordillera Administrative Region,2025-02-01,dry,2550.058796564473,2449.1882992182373,2648.6072678011037
Dengue,Cordillera Administrative Region,2025-03-01,dry,645.9541135592418,562.8151486997622,725.2031527116291
Dengue,Cordillera Administrative Region,2025-07-01,wet,12179.786426470984,10491.128554477553,13747.807861460864
Dengue,Cordillera Administrative Region,2025-08-01,wet,14181.193041196222,11878.112804605516,16303.915860964615
Dengue,Cordillera Administrative Region,2025-09-01,wet,8672.518694884619,7053.506022714927,10204.492575001152
Dengue,Davao Region,2025-01-01,dry,3163.7080443166933,2969.654925273478,3372.6869946314896
Dengue,Davao Region,2025-02-01,dry,4026.515292772285,3818.996589496515,4222.455241696042
Dengue,Davao Region,2025-03-01,dry,2321.815495387415,2114.215531363403,2522.654416506116
Dengue,Davao Region,2025-07-01,wet,4609.182370592961,4411.454153235746,4807.538570544855
Dengue,Davao Region,2025-08-01,wet,6180.119829875297,5992.0632143004,6387.174120290241
Dengue,Davao Region,2025-09-01,wet,4662.3596362792405,4461.866313889036,4865.428937265288
Dengue,Eastern Visayas,2025-01-01,dry,530.6035219449316,348.81189418785465,702.8183383152248
Dengue,Eastern Visayas,2025-02-01,dry,652.1629538222105,472.66830624996135,837.5590936373305
Dengue,Eastern Visayas,2025-03-01,dry,559.7310817080214,366.32581589865396,740.3059018316286
Dengue,Eastern Visayas,2025-07-01,wet,1485.8619216322606,1301.3313674415058,1692.6247445157742
Dengue,Eastern Visayas,2025-08-01,wet,2033.9248313633261,1839.2972215881043,2246.0902969311937
Dengue,Eastern Visayas,2025-09-01,wet,1096.6820767222137,907.1254172162419,1288.1418483054701
Dengue,Ilocos Region,2025-01-01,dry,84.03152488451117,10.2129020637597,161.5955683511888
Dengue,Ilocos Region,2025-02-01,dry,200.9094331847359,126.05963222343837,270.40983110227944
Dengue,Ilocos Region,2025-03-01,dry,279.72344326676364,205.49529329754552,356.5473695806692
Dengue,Ilocos Region,2025-07-01,wet,3826.100730605052,3522.763107441361,4111.951688523701
Dengue,Ilocos Region,2025-08-01,wet,5976.830175641277,5412.591658551696,6527.416577147933
Dengue,Ilocos Region,2025-09-01,wet,4290.597626171749,3820.8326762028355,4737.242207965807
Dengue,MIMAROPA,2025-01-01,dry,600.5608176958301,400.9804156586546,795.9352648474369
Dengue,MIMAROPA,2025-02-01,dry,1461.106500463782,1266.8820826426925,1666.820457588284
Dengue,MIMAROPA,2025-03-01,dry,827.6766539730531,628.4498428735903,1037.979346816493
Dengue,MIMAROPA,2025-07-01,wet,4840.575151797096,4650.716740427085,5031.94921471984
Dengue,MIMAROPA,2025-08-01,wet,4140.5311816040285,3963.2807054273944,4352.524998398448
Dengue,MIMAROPA,2025-09-01,wet,1995.0831643773934,1786.063341482861,2199.214383068181
Dengue,National,2025-01-01,dry,7562.813222918445,3586.133330236209,11784.875281827835
Dengue,National,2025-02-01,dry,17873.77986250765,14152.27989989098,21618.414026260078
Dengue,National,2025-03-01,dry,23105.283655727748,19085.47891348384,27051.06161939863
Dengue,National,2025-07-01,wet,94663.62352060016,90128.69903430514,99617.08214764774
Dengue,National,2025-08-01,wet,114606.55348524543,109218.26336593932,120124.73161547471
Dengue,National,2025-09-01,wet,83593.195780114,78728.38590497461,89133.16100697979
Dengue,National Capital Region,2025-01-01,dry,0.0,0.0,-492.5058533449434
Dengue,National Capital Region,2025-02-01,dry,1124.9508058509584,0.0,2625.8827138942916
Dengue,National Capital Region,2025-03-01,dry,1552.8930013332724,79.61887624092803,2972.8041269723767
Dengue,National Capital Region,2025-07-01,wet,3510.7181313201,2036.6624054799631,4930.8314177602315
Dengue,National Capital Region,2025-08-01,wet,5114.15045301159,3684.5512267495,6502.305251574245
Dengue,National Capital Region,2025-09-01,wet,5916.524863125339,4545.63006451583,7332.253451649127
Dengue,Negros Island Region,2025-01-01,dry,0.0,0.0,-103.55616455517277
Dengue,Negros Island Region,2025-02-01,dry,316.83687669728135,195.31407780969394,432.0732111704843
Dengue,Negros Island Region,2025-03-01,dry,1654.3366750446114,1529.410781738558,1768.8638623211302
Dengue,Negros Island Region,2025-07-01,wet,7831.850850878765,7446.470545392307,8199.923404802208
Dengue,Negros Island Region,2025-08-01,wet,9819.38867788346,9271.109594721016,10391.347507027476
Dengue,Negros Island Region,2025-09-01,wet,6094.153210573079,5692.181054428544,6513.896804254535
Dengue,Northern Mindanao,2025-01-01,dry,3997.7770244597436,3754.456000899787,4272.747442603013
Dengue,Northern Mindanao,2025-02-01,dry,2620.4680004958686,2364.149510104284,2891.900104831834
Dengue,Northern Mindanao,2025-03-01,dry,1944.1414679397753,1675.43739485115,2200.7287036880102
Dengue,Northern Mindanao,2025-07-01,wet,4439.60813108081,4186.441705835746,4696.796537109773
Dengue,Northern Mindanao,2025-08-01,wet,5082.396506004134,4812.973196978182,5342.79613757636
Dengue,Northern Mindanao,2025-09-01,wet,3368.8547611654653,3107.637587144989,3633.369776366754
Dengue,SOCCSKSARGEN,2025-01-01,dry,2191.6431947046262,2029.4271925014796,2363.595962289583
Dengue,SOCCSKSARGEN,2025-02-01,dry,2069.6624921461785,1890.843045190577,2232.99488811948
Dengue,SOCCSKSARGEN,2025-03-01,dry,2643.8727563927055,2482.4947277484025,2814.15930989464
Dengue,SOCCSKSARGEN,2025-07-01,wet,3863.433159180876,3705.4895085337616,4032.480351145938
Dengue,SOCCSKSARGEN,2025-08-01,wet,4140.654222881911,3972.1030647328434,4305.916892054801
Dengue,SOCCSKSARGEN,2025-09-01,wet,3084.622349126475,2916.998212628882,3263.9471077418098
Dengue,Western Visayas,2025-01-01,dry,16.98107734405311,0.0,236.13114834862665
Dengue,Western Visayas,2025-02-01,dry,627.6788640613204,436.08022921752223,836.3415249862916
Dengue,Western Visayas,2025-03-01,dry,1099.5853034533832,897.1417896018132,1301.0528022860174
Dengue,Western Visayas,2025-07-01,wet,11397.543861105285,10828.184174928574,11981.960794086066
Dengue,Western Visayas,2025-08-01,wet,13190.78372718937,12461.305762091792,13945.806044056055
Dengue,Western Visayas,2025-09-01,wet,6584.237645322698,6142.710015651698,7071.737428729299
Dengue,Zamboanga Peninsula,2025-01-01,dry,1180.1098992147206,840.3069346145595,1535.5061381498833
Dengue,Zamboanga Peninsula,2025-02-01,dry,1265.3030783984618,897.1261572729712,1614.4946246801742
Dengue,Zamboanga Peninsula,2025-03-01,dry,1143.7526766839685,794.1434505326872,1527.239480591038
Dengue,Zamboanga Peninsula,2025-07-01,wet,2731.6057027742972,2389.3481502528907,3060.8291901220186
Dengue,Zamboanga Peninsula,2025-08-01,wet,2321.213556963161,1982.4966595342664,2666.5613322737686
Dengue,Zamboanga Peninsula,2025-09-01,wet,1682.738799033579,1329.498371846113,2046.5580073584663
