disease,region,season,date,yhat,p50,p75,risk_level
Dengue,Bangsamoro (BARMM),dry,2025-01-01,766.967126054115,452.0,585.0,High
Dengue,Bangsamoro (BARMM),dry,2025-02-01,779.986146194316,369.0,543.0,High
Dengue,Bangsamoro (BARMM),dry,2025-03-01,791.7452611596589,350.0,564.5,High
Dengue,Bangsamoro (BARMM),wet,2025-07-01,1398.5199503964534,859.0,1241.5,High
Dengue,Bangsamoro (BARMM),wet,2025-08-01,1420.1187179304063,1019.0,1337.0,High
Dengue,Bangsamoro (BARMM),wet,2025-09-01,1441.7174854643597,1009.0,1128.0,High
Dengue,Bicol Region,dry,2025-01-01,57.04900425286624,81.0,90.0,Low
Dengue,Bicol Region,dry,2025-02-01,55.32767683728704,69.0,77.0,Low
Dengue,Bicol Region,dry,2025-03-01,53.77292949418324,75.0,100.5,Low
Dengue,Bicol Region,wet,2025-07-01,106.8022289414024,248.0,343.5,Low
Dengue,Bicol Region,wet,2025-08-01,102.89059501321464,325.0,327.5,Low
Dengue,Bicol Region,wet,2025-09-01,98.9789610850268,188.0,189.0,Low
Dengue,CALABARZON,dry,2025-01-01,2535.84864208878,1420.0,1684.5,High
Dengue,CALABARZON,dry,2025-02-01,2586.5703127843026,1096.0,1268.5,High
Dengue,CALABARZON,dry,2025-03-01,2632.38343470284,999.0,1065.0,High
Dengue,CALABARZON,wet,2025-07-01,6451.758441050148,4251.0,4772.5,High
Dengue,CALABARZON,wet,2025-08-01,6567.310781042381,5020.0,5838.0,High
Dengue,CALABARZON,wet,2025-09-01,6682.863121034613,3815.0,5024.0,High
Dengue,Cagayan Valley,dry,2025-01-01,232.50155798655504,579.0,590.5,Low
Dengue,Cagayan Valley,dry,2025-02-01,241.1682200219108,354.0,364.5,Low
Dengue,Cagayan Valley,dry,2025-03-01,248.99617282803857,286.0,344.5,Low
Dengue,Cagayan Valley,wet,2025-07-01,3076.0574457040075,2249.0,3201.5,Moderate
Dengue,Cagayan Valley,wet,2025-08-01,3170.224890449256,3205.0,3467.5,Low
Dengue,Cagayan Valley,wet,2025-09-01,3264.3923351945064,2693.0,2700.0,High
Dengue,Caraga,dry,2025-01-01,1104.595249753478,599.0,871.0,High
Dengue,Caraga,dry,2025-02-01,1133.3979831984516,359.0,557.5,High
Dengue,Caraga,dry,2025-03-01,1159.413355342299,347.0,490.5,High
Dengue,Caraga,wet,2025-07-01,2059.748644118473,737.0,1255.0,High
Dengue,Caraga,wet,2025-08-01,2106.360817063798,710.0,1789.0,High
Dengue,Caraga,wet,2025-09-01,2152.9729900091243,697.0,1461.0,High
Dengue,Central Luzon,dry,2025-01-01,637.7732409732756,1484.0,1671.0,Low
Dengue,Central Luzon,dry,2025-02-01,658.5134445500248,894.0,972.0,Low
Dengue,Central Luzon,dry,2025-03-01,677.2465316516048,810.0,853.0,Low
Dengue,Central Luzon,wet,2025-07-01,7343.925850980765,4919.0,8856.0,Moderate
Dengue,Central Luzon,wet,2025-08-01,7544.638310376306,8236.0,9152.5,Low
Dengue,Central Luzon,wet,2025-09-01,7745.35076977185,5215.0,5772.5,High
Dengue,Central Visayas,dry,2025-01-01,1592.4492869977266,633.0,1125.0,High
Dengue,Central Visayas,dry,2025-02-01,1631.1555628015917,698.0,978.5,High
Dengue,Central Visayas,dry,2025-03-01,1666.1160699792763,1030.0,1094.0,High
Dengue,Central Visayas,wet,2025-07-01,4234.636169145709,2203.0,2603.0,High
Dengue,Central Visayas,wet,2025-08-01,4324.772019368657,1725.0,4845.5,Moderate
Dengue,Central Visayas,wet,2025-09-01,4414.907869591607,1379.0,3747.5,High
Dengue,Cordillera Administrative Region,dry,2025-01-01,415.02929656339535,393.0,440.0,Moderate
Dengue,Cordillera Administrative Region,dry,2025-02-01,431.5747003950371,289.0,292.5,High
Dengue,Cordillera Administrative Region,dry,2025-03-01,446.5189361139395,222.0,246.0,High
Dengue,Cordillera Administrative Region,wet,2025-07-01,6271.630846626107,3919.0,5469.5,High
Dengue,Cordillera Administrative Region,wet,2025-08-01,6474.445449154814,3241.0,6450.0,High
Dengue,Cordillera Administrative Region,wet,2025-09-01,6677.260051683524,2216.0,3563.0,High
Dengue,Davao Region,dry,2025-01-01,2113.385736337419,1153.0,1640.0,High
Dengue,Davao Region,dry,2025-02-01,2161.449987338696,1064.0,1364.5,High
Dengue,Davao Region,dry,2025-03-01,2204.862859210816,1077.0,1361.5,High
