disease,region,season,p75,n_months
Dengue,Bangsamoro (BARMM),dry,707.8,18
Dengue,Bangsamoro (BARMM),wet,1016.5,18
Dengue,Bicol Region,dry,95.5,18
Dengue,Bicol Region,wet,233.5,18
Dengue,CALABARZON,dry,1435.8,18
Dengue,CALABARZON,wet,5225.5,18
Dengue,Cagayan Valley,dry,644.0,18
Dengue,Cagayan Valley,wet,2703.5,18
Dengue,Caraga,dry,725.5,18
Dengue,Caraga,wet,1488.5,18
Dengue,Central Luzon,dry,1710.5,18
Dengue,Central Luzon,wet,6316.8,18
Dengue,Central Visayas,dry,1240.5,18
Dengue,Central Visayas,wet,2915.5,18
Dengue,Cordillera Administrative Region,dry,484.5,18
Dengue,Cordillera Administrative Region,wet,3220.5,18
Dengue,Davao Region,dry,1583.5,18
Dengue,Davao Region,wet,2505.0,18
Dengue,Eastern Visayas,dry,421.2,18
Dengue,Eastern Visayas,wet,812.8,18
Dengue,Ilocos Region,dry,209.8,18
Dengue,Ilocos Region,wet,1605.5,18
Dengue,MIMAROPA,dry,731.5,18
Dengue,MIMAROPA,wet,1957.2,18
Dengue,National,dry,15266.0,18
Dengue,National,wet,44641.5,18
Dengue,National Capital Region,dry,1800.5,18
Dengue,National Capital Region,wet,5445.2,18
Dengue,Negros Island Region,dry,431.5,18
Dengue,Negros Island Region,wet,1827.5,18
Dengue,Northern Mindanao,dry,1365.8,18
Dengue,Northern Mindanao,wet,1909.8,18
Dengue,SOCCSKSARGEN,dry,1577.2,18
Dengue,SOCCSKSARGEN,wet,1745.0,18
Dengue,Western Visayas,dry,571.8,18
Dengue,Western Visayas,wet,1811.8,18
Dengue,Zamboanga Peninsula,dry,981.2,18
Dengue,Zamboanga Peninsula,wet,1514.5,18
