Year,Month,Morbidity Weel,Region,Cases,Deaths
2022,1,1,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),62,0
2022,1,1,CORDILLERA ADMINISTRATIVE REGION (CAR),102,0
2022,1,1,MIMAROPA REGION,32,0
2022,1,1,NATIONAL CAPITAL REGION (NCR),120,1
2022,1,1,NEGROS ISLAND REGION (NIR),54,1
2022,1,1,REGION I (ILOCOS REGION),42,0
2022,1,1,REGION II (CAGAYAN VALLEY),121,0
2022,1,1,REGION III (CENTRAL LUZON),235,2
2022,1,1,REGION IV-A (CALABARZON),170,1
2022,1,1,REGION IX (ZAMBOANGA PENINSULA),110,1
2022,1,1,REGION V (BICOL REGION),22,2
2022,1,1,REGION VI (WESTERN VISAYAS),44,2
2022,1,1,REGION VII (CENTRAL VISAYAS),85,2
2022,1,1,REGION VIII (EASTERN VISAYAS),49,0
2022,1,1,REGION X (NORTHERN MINDANAO),221,0
2022,1,1,REGION XI (DAVAO REGION),149,1
2022,1,1,REGION XII (SOCCSKSARGEN),63,0
2022,1,1,REGION XIII (CARAGA),45,0
2022,1,2,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35,0
2022,1,2,CORDILLERA ADMINISTRATIVE REGION (CAR),68,0
2022,1,2,MIMAROPA REGION,27,0
2022,1,2,NATIONAL CAPITAL REGION (NCR),154,0
2022,1,2,NEGROS ISLAND REGION (NIR),28,0
2022,1,2,REGION I (ILOCOS REGION),19,0
2022,1,2,REGION II (CAGAYAN VALLEY),48,0
2022,1,2,REGION III (CENTRAL LUZON),152,1
2022,1,2,REGION IV-A (CALABARZON),87,1
2022,1,2,REGION IX (ZAMBOANGA PENINSULA),72,0
2022,1,2,REGION V (BICOL REGION),12,0
2022,1,2,REGION VI (WESTERN VISAYAS),25,0
2022,1,2,REGION VII (CENTRAL VISAYAS),75,2
2022,1,2,REGION VIII (EASTERN VISAYAS),29,0
2022,1,2,REGION X (NORTHERN MINDANAO),148,0
2022,1,2,REGION XI (DAVAO REGION),130,0
2022,1,2,REGION XII (SOCCSKSARGEN),48,0
2022,1,2,REGION XIII (CARAGA),33,0
2022,1,3,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),33,0
2022,1,3,CORDILLERA ADMINISTRATIVE REGION (CAR),40,1
2022,1,3,MIMAROPA REGION,25,1
2022,1,3,NATIONAL CAPITAL REGION (NCR),200,0
2022,1,3,NEGROS ISLAND REGION (NIR),19,3
2022,1,3,REGION I (ILOCOS REGION),14,0
2022,1,3,REGION II (CAGAYAN VALLEY),73,0
2022,1,3,REGION III (CENTRAL LUZON),188,2
2022,1,3,REGION IV-A (CALABARZON),113,1
2022,1,3,REGION IX (ZAMBOANGA PENINSULA),74,4
2022,1,3,REGION V (BICOL REGION),9,0
2022,1,3,REGION VI (WESTERN VISAYAS),27,1
2022,1,3,REGION VII (CENTRAL VISAYAS),70,2
2022,1,3,REGION VIII (EASTERN VISAYAS),27,1
2022,1,3,REGION X (NORTHERN MINDANAO),99,0
2022,1,3,REGION XI (DAVAO REGION),100,2
2022,1,3,REGION XII (SOCCSKSARGEN),35,0
2022,1,3,REGION XIII (CARAGA),27,0
2022,1,4,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),21,0
2022,1,4,CORDILLERA ADMINISTRATIVE REGION (CAR),40,0
2022,1,4,MIMAROPA REGION,26,0
2022,1,4,NATIONAL CAPITAL REGION (NCR),138,1
2022,1,4,NEGROS ISLAND REGION (NIR),34,0
