# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"B. POPULATION AND ANNUAL POPULATION GROWTH RATE BY PROVINCE, CITY, AND MUNICIPALITY",,,,,,,,,
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM): 2010, 2015, 2020, AND 2024 POPULATION CENSUSES",,,,,,,,,
,,,,,,,,,
"REGION, PROVINCE, AND CITY/MUNICIPALITY",,TOTAL POPULATION,,,,POPULATION GROWTH RATE,,,
,,01-May-10,01-Aug-15,01-May-20,01-Jul-24,2010-2015,2015-2020,2015-2024,2020-2024
,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),,"3,675,537","4,273,149","4,944,800","5,691,583",2.91,3.12,3.26,3.43
,,,,,,,,,
BASILAN *,,"293,322","346,579","426,207","541,947",3.23,4.45,5.14,5.93
CITY OF LAMITAN ,,"68,996","74,782","100,150","116,652",1.54,6.34,5.11,3.73
LANTAWAN,,"20,087","24,594","31,040","48,777",3.93,5.02,7.98,11.45
MALUSO,,"33,803","40,646","45,730","66,817",3.57,2.51,5.73,9.52
SUMISIP,,"37,031","41,730","47,345","55,778",2.30,2.69,3.31,4.01
TIPO-TIPO,,"16,978","19,163","25,531","32,734",2.33,6.22,6.18,6.14
TUBURAN,,"18,988","20,207","24,742","30,027",1.19,4.35,4.54,4.75
AKBAR,,"13,369","17,531","23,098","27,911",5.29,5.97,5.35,4.64
AL-BARKA,,"19,523","20,905","23,736","30,318",1.31,2.71,4.25,6.05
HADJI MOHAMMAD AJUL,,"15,962","19,307","24,625","32,806",3.69,5.25,6.12,7.12
UNGKAYA PUKAN,,"17,701","18,441","24,016","31,041",0.78,5.71,6.01,6.35
HADJI MUHTAMAD,,"12,249","25,085","26,867","30,122",14.62,1.45,2.07,2.78
TABUAN-LASA,,"18,635","24,188","29,327","38,964",5.09,4.14,5.49,7.05
,,,,,,,,,
LANAO DEL SUR,,"933,260","1,045,429","1,195,518","1,368,137",2.18,2.86,3.06,3.29
BACOLOD-KALAWI,,"18,555","20,841","23,129","24,381",2.24,2.22,1.77,1.27
BALABAGAN,,"25,139","26,819","29,863","31,227",1.24,2.29,1.72,1.08
BALINDONG,,"26,007","29,180","32,573","40,047",2.21,2.34,3.61,5.08
BAYANG,,"21,472","23,965","28,023","30,227",2.11,3.35,2.64,1.83
BINIDAYAN,,"19,493","22,079","25,965","27,031",2.40,3.47,2.29,0.97
BUBONG,,"19,455","22,336","26,514","28,733",2.66,3.67,2.86,1.95
BUTIG,,"16,642","19,302","22,768","25,394",2.86,3.54,3.12,2.65
GANASSI,,"20,205","23,016","30,802","33,897",2.51,6.32,4.43,2.32
KAPAI,,"17,370","18,894","20,581","21,630",1.61,1.82,1.53,1.20
LUMBA-BAYABAO,,"32,412","36,151","45,909","50,959",2.10,5.16,3.92,2.53
LUMBATAN,,"16,719","19,105","22,780","24,988",2.57,3.77,3.05,2.24
MADALUM,,"20,243","23,127","26,478","30,044",2.57,2.89,2.98,3.08
MADAMBA,,"15,542","17,756","22,050","24,886",2.57,4.66,3.86,2.94
MALABANG,,"38,724","43,957","49,088","58,377",2.44,2.35,3.23,4.24
